¶ Linstruction des	¶ L'instruction des
mediateur iusque a ce que la semence uint/ a laq̃l¬	mediateur jusque a ce que la semence vint/ a laquel¬
le estoit promise. Gala.3.c. Act̃.7.e. Heb.2.a.	le estoit promise. Gala.3.c. Act̃.7.e. Heb.2.a.
¶ Sur le premier cõmandemẽt.	¶ Sur le premier commandement.
¶ De la maieste/ sapience/ ⁊ bonte de Dieu	¶ De la majeste/ sapience/ et bonte de Dieu
tout puissant/ tout sage/ ⁊ tout bon:	tout puissant/ tout sage/ et tout bon:
auquel seul appartiẽt toute	auquel seul appartient toute
adoration/ honneur ⁊	adoration/ honneur et
gloire.	gloire.
Escoute Israel/ Leternel nostre Dieu est un	Escoute Israel/ L'eternel nostre Dieu est un
Dieu. 5.Moyse.6.a.	Dieu. 5.Moyse.6.a.
Leternel/ ton dieu est un feu cõsummant/ Dieu	L'eternel/ ton dieu est un feu consummant/ Dieu
ialoux. 5.Moy.4.d. Heb.12.g.	jaloux. 5.Moy.4.d. Heb.12.g.
Dieu est esperit: ⁊ faut que ceux qui le adorent/	Dieu est esperit: et faut que ceux qui le adorent/
le adorent en esperit ⁊ uerite. Iehan.4.c. 2.Co¬	le adorent en esperit et verite. Jehan.4.c. 2.Co¬
rinthiens.3.d.	rinthiens.3.d.
Dieu est charite: et qui demeure en charite il de¬	Dieu est charite: et qui demeure en charite il de¬
meure en dieu/ ⁊ dieu en luy. 1.Iehã.4.c.	meure en dieu/ et dieu en luy. 1.Jehã.4.c.
Dieu est la lumiere/ ⁊ ny a nulles tenebres en	Dieu est la lumiere/ et n'y a nulles tenebres en
luy. 1.Iehan.1.b.	luy. 1.Jehan.1.b.
Ie suis Alpha/ ⁊ O/ le commencement ⁊ la fin:	Je suis Alpha/ et O/ le commencement et la fin:
dit le Seigneur dieu/ qui est/ ⁊ qui estoit/ et qui est	dit le Seigneur dieu/ qui est/ et qui estoit/ et qui est
a aduenir le tout puissant. Apocali.1.d.22.c.	a advenir le tout puissant. Apocali.1.d.22.c.
Lors Moyse dit a Dieu: Uoicy/ moymesme ay	Lors Moyse dit a Dieu: Voicy/ moymesme ay
este aux enfans Disrael/ ⁊ leur ay dit: Le dieu de	este aux enfans D'israel/ et leur ay dit: Le dieu de
uoz peres ma enuoye uers uous. Et me ont dit:	voz peres m'a envoye vers vous. Et me ont dit:
Quel est son nom? Que leur a il dit? Et dieu dit	Quel est son nom? Que leur a il dit? Et dieu dit
a Moyse: Ie suis/ qui suis/ puis il dit: Tu di¬	a Moyse: Je suis/ qui suis/ puis il dit: Tu di¬
ras ainsi aux enfans Disrael: Qui suis/ ma en¬	ras ainsi aux enfans D'israel: Qui suis/ m'a en¬
uoye a uous. Et dieu dit encore a Moyse: Tu di¬	voye a vous. Et dieu dit encore a Moyse: Tu di¬
ras ainsi aux enfãs Disrael IEHOUAH (cest	ras ainsi aux enfans D'israel JEHOVAH (c'est
adire Leternel) Le Dieu de uoz peres/ le Dieu de	adire L'eternel) Le Dieu de voz peres/ le Dieu de
Abraham/ le Dieu de Isaac/ et le Dieu de Iacob/	Abraham/ le Dieu de Isaac/ et le Dieu de Jacob/
ma enuoye a uous. Ce est mon nom perpetuelle¬	m'a envoye a vous. Ce est mon nom perpetuelle¬
ment/ ⁊ ce est ma cõmemoration en toute genera¬	ment/ et ce est ma commemoration en toute genera¬
tion. 2.Moyse.3.d.e.	tion. 2.Moyse.3.d.e.
Lors dieu parla a Moyse/ ⁊ luy dit: Ie suis Le¬	Lors dieu parla a Moyse/ et luy dit: Je suis L'e¬
ternel/ ⁊ suis apparu a Abraham/ a Isaac/ ⁊ a Ia¬	ternel/ et suis apparu a Abraham/ a Isaac/ et a Ja¬
cob/ en dieu tout puissant/ ⁊ ne leur ay point dõne	cob/ en dieu tout puissant/ et ne leur ay point donne
a congnoistre mon nom IEOUAH (cestadire	a congnoistre mon nom JEOVAH (c'est adire
Leternel). 2. Moyse.6.a	L'eternel). 2. Moyse.6.a
Lors Moyse linuocqua. O Eternel Eternel/	Lors Moyse l'invocqua. O Eternel Eternel/
Dieu pitoyable/ misericordieux/ fort patient/ et	Dieu pitoyable/ misericordieux/ fort patient/ et
moult debonnaire/ qui garde benignite a milliers/	moult debonnaire/ qui garde benignite a milliers/
qui oste liniquite/ loffense/ ⁊ peche: aussi nul nest	qui oste l'iniquite/ l'offense/ et peche: aussi nul n'est
sans coulpe/ pour se faire innocent. Tu pugnis	sans coulpe/ pour se faire innocent. Tu pugnis
liniquite des peres sur les enfans des enfans/	l'iniquite des peres sur les enfans des enfans/
en la tierce ⁊ quarte generation. 2.Moyse.34.a.	en la tierce et quarte generation. 2.Moyse.34.a.
Neemie.9.f. Ion.4.a. Ps̈.86.a. Ioel.2.c.	Neemie.9.f. Jon.4.a. Ps̈.86.a. Joel.2.c.
Ie suis grand roy dit Leternel des exercites/	Je suis grand roy dit L'eternel des exercites/
et mon nom est horrible entre les gens. Ma¬	et mon nom est horrible entre les gens. Ma¬
lachie.1.d.	lachie.1.d.
Ne suis ie pas Leternel? dautre dieu ny a il	Ne suis je pas L'eternel? d'autre dieu n'y a il
point sinon moy: de dieu iuste/ ⁊ sauueur nen est il	point sinon moy: de dieu juste/ et sauveur n'en est il
point que moy. Isaie.45.d.	point que moy. Isaie.45.d.
Qui est dieu/ sinon Leternel? Createur/ sinon	Qui est dieu/ sinon L'eternel? Createur/ sinon
nostre dieu? Psalme.17.e.	nostre dieu? Psalme.17.e.
Leternel est le souuerain/ merueilleux/ ⁊ grand	L'eternel est le souverain/ merveilleux/ et grand
roy sur toute la terre. Psalme.47.b.	roy sur toute la terre. Psalme.47.b.
Qui est ce noble roy/ le fort ⁊ puissãt Eternel.	Qui est ce noble roy/ le fort et puissant Eternel.
Leternel/ preux en guerre? Psal.24.b.	L'eternel/ preux en guerre? Psal.24.b.
Il nya nul sainct/ comme Leternel. Car il ny	Il n'y a nul sainct/ comme L'eternel. Car il n'y
a point sinon que toy/ ⁊ ny a nul fort cõme nostre	a point sinon que toy/ et n'y a nul fort comme nostre
Dieu. 1.Samuel.2.a.	Dieu. 1.Samuel.2.a.
Car Leternel uostre Dieu cest le Dieu des	Car L'eternel vostre Dieu c'est le Dieu des
dieux/ et le seigneur des seigneurs/ le Dieu grãd/	dieux/ et le seigneur des seigneurs/ le Dieu grand/
puissant/ et merueilleux: lequel ne regarde	puissant/ et merveilleux: lequel ne regarde
point la personne/ et ne prent nul don. 5. Moy¬	point la personne/ et ne prent nul don. 5. Moy¬
se.10.d.	se.10.d.
Ce fort/ ce grand/ ce puissant a nom Eternel/	Ce fort/ ce grand/ ce puissant a nom Eternel/
seigneur des exercites: Il est de grand cõseil/ et de	seigneur des exercites: Il est de grand conseil/ et de
moult grãdz gestes/ duquel les yeux sont ouuers	moult grandz gestes/ duquel les yeux sont ouvers
sur toutes les uoyes des enfans de lhomme pour	sur toutes les voyes des enfans de l'homme pour
rẽdre a un chascun selon sa uoye/ ⁊ selon le fruict	rendre a un chascun selon sa voye/ et selon le fruict
de son oeuure. Iere.32.d.	de son oeuvre. Jere.32.d.
O seigñr dieu tout puissãt/ tes oeuures sõt grã	O seigneur dieu tout puissant/ tes oeuvres sont gran¬
des ⁊ merueilleuses: seigñr roy des saĩctz/ tes uoyes	des et merveilleuses: seigneur roy des sainctz/ tes voyes
sont iustes ⁊ urayes. Qui est cestuy/ seigñr qͥ ne te	sont justes et vrayes. Qui est cestuy/ seigneur qui ne te
craindra/ ⁊ ne magnifiera ton nom: Car tu es seul	craindra/ et ne magnifiera ton nom: Car tu es seul
sainct pource uiendront toutes gens/ ⁊ adoreront	sainct pour ce viendront toutes gens/ et adoreront
en ta presence. Car tes iugemens sont manifestes.	en ta presence. Car tes jugemens sont manifestes.
Apocalip.15.b.	Apocalip.15.b.
Tu es grãd/ tu fais choses merueilleuses/ tu es	Tu es grand/ tu fais choses merveilleuses/ tu es
seul dieu. Psal.86.b.	seul dieu. Psal.86.b.
Loue soit Leternel/ dieu/ le Dieu Disrael qui	Loue soit L'eternel/ dieu/ le Dieu D'israel qui
faict seul choses merueilleuses. Ps̈.72.d.136.a.	faict seul choses merveilleuses. Ps̈.72.d.136.a.
Le benoit ⁊ seul prince/ roy/ de ceux qui regnẽt/ ⁊	Le benoit et seul prince/ roy/ de ceux qui regnent/ et
seigñr de ceux qͥ ont seigneurie: lequel seul a im-	seigneur de ceux qui ont seigneurie: lequel seul a im¬
mortalite. 1.Timothee.6.c. Apocalip.19.c.	mortalite. 1.Timothee.6.c. Apocalip.19.c.
Ie suis celuy qui faict toutes choses: iay estẽdu	Je suis celuy qui faict toutes choses: j'ay estendu
seul les cieux. Isa.44.d.	seul les cieux. Isa.44.d.
Toutes choses qui sont soubz le ciel sont mien-	Toutes choses qui sont soubz le ciel sont mien¬
nes. Iob.41.a.	nes. Job.41.a.
Ie suis Leternel ⁊ ny a pas dautre/ formant la	Je suis L'eternel et n'y a pas d'autre/ formant la
lumiere ⁊ creant les tenebres/ faisant la prosperi-	lumiere et creant les tenebres/ faisant la prosperi¬
te/ ⁊ creant laduersite: Ie suis Leternel faisãt tou-	te/ et creant l'adversite: Je suis L'eternel faisant tou¬
tes ces choses. Isa.45.b.	tes ces choses. Isa.45.b.
Uoyez maintenant/ que cest moy/ cest moy: et	Voyez maintenant/ que c'est moy/ c'est moy: et
ny a nul dieu auec moy. Ie tue ⁊ uiuifie/ ie naure/	n'y a nul dieu avec moy. Je tue et vivifie/ je navre/
et guery: ⁊ ny a nul qui puisse deliurer de mes	et guery: et n'y a nul qui puisse delivrer de mes
mains. 5.Moyse.32.f.	mains. 5.Moyse.32.f.
Leternel faict mourir ⁊ faict uiure/ il maine a	L'eternel faict mourir et faict vivre/ il maine a
la fosse ⁊ en ramaine. Leternel appaourist ⁊ en¬	la fosse et en ramaine. L'eternel appaovrist et en¬
richist/ il abaisse ⁊ haulce/ il eslieue le chetif de la	richist/ il abaisse et haulce/ il eslieve le chetif de la
poudre/ ⁊ le paouure de la fiente pour les faire	poudre/ et le paouvre de la fiente pour les faire
seoir auec les princes ⁊ obtenir le noble thronne.	seoir avec les princes et obtenir le noble thronne.
1.Samuel.2.b.	1.Samuel.2.b.
A dieu est le pouoir de secourir/ ⁊ de faire tõber.	A dieu est le povoir de secourir/ et de faire tomber.
2.Cronicq̃.25.c.	2.Cronicque.25.c.
Ie suis dieu tout puissant: fais que tu chemine	Je suis dieu tout puissant: fais que tu chemine
deuant moy/ ⁊ soys entier. 1.Moyse.17.a.	devant moy/ et soys entier. 1.Moyse.17.a.
La terre est au seigneur. Psalme.24.a.	La terre est au seigneur. Psalme.24.a.
Tu as faict toutes ces choses en sapiẽce. Psal¬	Tu as faict toutes ces choses en sapience. Psal¬
me.103.b.	me.103.b.
A toy sont toutes choses/ ⁊ as donne ce q̃ auõs	A toy sont toutes choses/ et as donne ce que avons
receu de ta main. 1.Cronique.29.d.	receu de ta main. 1.Cronique.29.d.
Si iay faim/ ie ne le te diray point: car la ron¬	Si j'ay faim/ je ne le te diray point: car la ron¬
deur de la terre est a moy/ ⁊ la plenitude dicelle.	deur de la terre est a moy/ et la plenitude d'icelle.
Psalme.50.b.	Psalme.50.b.
Dieu qͥ oeuure toutes choses en toꝰ. Phili.2.b.	Dieu qui oeuvre toutes choses en tous. Phili.2.b.
Affin que dieu soit tout en tout. 1.Corinth.15.d.	Affin que dieu soit tout en tout. 1.Corinth.15.d.
Ephe.4.d.	Ephe.4.d.
Ie scay que tu peux toutes choses/ ⁊ que nulle	Je scay que tu peux toutes choses/ et que nulle
pensee ne test cachee. Iob.42.d.	pensee ne t'est cachee. Job.42.d.
Ie suis le premier/ ⁊ suis le dernier/ ⁊ si ny a poĩt	Je suis le premier/ et suis le dernier/ et si n'y a point
dautre dieu que moy. Isaie.44.a.41.e.48.b. Apo¬	d'autre dieu que moy. Isaie.44.a.41.e.48.b. Apo¬
calip.1.d.22.c.	calip.1.d.22.c.
Les tẽps ne sont point cachez au tout puissant.	Les temps ne sont point cachez au tout puissant.
Iob.24.a.	Job.24.a.
Celuy qui plante laureille ne orra il pas?	Celuy qui plante l'aureille ne orra il pas?
celuy qui forme loeil ne regardera il pas? Psal¬	celuy qui forme l'oeil ne regardera il pas? Psal¬
me.94.b.	me.94.b.
Tu as congneu seul le coeur de tous les filz	Tu as congneu seul le coeur de tous les filz
des hommes. 1.des Roix.8.d. 2.Cronicque.6.f.	des hommes. 1.des Roix.8.d. 2.Cronicque.6.f.
Ieremie.17.b.	Jeremie.17.b.
Iceluy congnoist les secretz des coeurs. Psal¬	Iceluy congnoist les secretz des coeurs. Psal¬
me.44.d.	me.44.d.
Dieu congnoist uoz coeurs. Luc.16.d.	Dieu congnoist voz coeurs. Luc.16.d.
Il nest nul bon/ sinon ung seul dieu. Matth.	Il n'est nul bon/ sinon ung seul dieu. Matth.
19.b. Marc.10.b. Luc.18.c.	19.b. Marc.10.b. Luc.18.c.
Dieu est ueritable/ ⁊ tout homme est menteur.	Dieu est veritable/ et tout homme est menteur.
Romains.3.b.	Romains.3.b.
Dieu est fidele/ ⁊ sans iniquite/ iuste et droit.	Dieu est fidele/ et sans iniquite/ juste et droit.
5.Moyse.23.a. Psalme.92.c.	5.Moyse.23.a. Psalme.92.c.
Ie suis Leternel/ qui ne suis point muable.	Je suis L'eternel/ qui ne suis point muable.
Malachie.3.b.	Malachie.3.b.
Uers dieu il ny a point de iniquite/ ne de ac¬	Vers dieu il n'y a point de iniquite/ ne de ac¬
ception de personnes: ne cõuoitise de dons. 2.Cro¬	ception de personnes: ne convoitise de dons. 2.Cro¬
nicques.19.c.	nicques.19.c.
Dieu nest pas cõme lhõme/ tellement quil men	Dieu n'est pas comme l'homme/ tellement qu'il men¬
te: ne comme le filz de lhõme/ tellemẽt quil se mue.	te: ne comme le filz de l'homme/ tellement qu'il se mue.
3.Moyse.23.c.	3.Moyse.23.c.
Soyez en paix/ ⁊ le dieu de paix/ ⁊ de dilection	Soyez en paix/ et le dieu de paix/ et de dilection
sera auec uous. 1.Corin.13.d.	sera avec vous. 1.Corin.13.d.
Lequel pardonne toutes tes iniquitez/ ⁊ guerit	Lequel pardonne toutes tes iniquitez/ et guerit
toutes les infirmitez. Ps̈.103.a.	toutes les infirmitez. Ps̈.103.a.
Dieu est riche en misericorde. Ephe.2.a.	Dieu est riche en misericorde. Ephe.2.a.
Cest moy Leternel qͥ uous sãctifie. 3.Moy.20.b	C'est moy L'eternel qui vous sanctifie. 3.Moy.20.b
Leternel est ma pierre/ mon boulouart/ ⁊ est ma	L'eternel est ma pierre/ mon boulovart/ et est ma
sauuegarde. Dieu est mon fort/ ie auray esperance	sauvegarde. Dieu est mon fort/ je auray esperance
en luy. Cest mon escusson ⁊ la corne de mon salut/	en luy. C'est mon escusson et la corne de mon salut/
ma defense/ mon refuge/ mon sauueur tu me deli¬	ma defense/ mon refuge/ mon sauveur tu me deli¬
ureras diniquite. 2.Samuel.22.a.	vreras d'iniquite. 2.Samuel.22.a.
Certainemẽt iceluy est ma roche/ ⁊ mon salut/	Certainement iceluy est ma roche/ et mon salut/
ma protection/ tellement que ie ne bougeray pas.	ma protection/ tellement que je ne bougeray pas.
En dieu est mon salut ⁊ ma gloire/ la roche de ma	En dieu est mon salut et ma gloire/ la roche de ma
forteresse ⁊ mõ esperãce est en dieu. Ps̈.61.b.	forteresse et mon esperance est en dieu. Ps̈.61.b.
Leternel seul/ la conduit/ ⁊ ny auoit nul Dieu	L'eternel seul/ l'a conduit/ et n'y avoit nul Dieu
estranger auec luy. 5.Moyse.32.b.	estranger avec luy. 5.Moyse.32.b.
Ie suis mesme Leternel de la terre Degipte: Tu	Je suis mesme L'eternel de la terre D'egipte: Tu
ne recõgnoistras dõc autre dieu que moy: aussi ny	ne recongnoistras donc autre dieu que moy: aussi n'y
a il autre sauueur que moy. Osee.13.b.	a il autre sauveur que moy. Osee.13.b.
Tu as peu ueoir/ pour cõgnoistre ⁊ entẽdre que	Tu as peu veoir/ pour congnoistre et entendre que
Leternel est iceluy dieu/ ⁊ ny a autre que luy seul.	L'eternel est iceluy dieu/ et n'y a autre que luy seul.
5.Moyse.4.f.	5.Moyse.4.f.
Cõgnoys dõc auiourdhuy/ ⁊ pẽse en tõ coeur q̃	Congnoys donc aujourdhuy/ et pense en ton coeur que
Leternel/ est iceluy dieu des cieux en haut: ⁊ sur la	L'eternel/ est iceluy dieu des cieux en haut: et sur la
terre en bas/ dautre ny a il point. 5.Moyse.4.f.	terre en bas/ d'autre n'y a il point. 5.Moyse.4.f.
Ie ne dõneray a personne ma gloire. Isa.48.b.	Je ne donneray a personne ma gloire. Isa.48.b.
Tu adoreras le seigñr ton dieu/ ⁊ a luy seul tu	Tu adoreras le seigneur ton dieu/ et a luy seul tu
seruiras. Matth.4.b. 5.Moyse.6.c.10.d.	serviras. Matth.4.b. 5.Moyse.6.c.10.d.
A dieu seul sage/ hõneur ⁊ gloire. 1.Timo.1.d.	A dieu seul sage/ honneur et gloire. 1.Timo.1.d.
Iude.1.d. Roma.16.d.	Jude.1.d. Roma.16.d.
¶ Exẽples des sainctz/ rendans au seul	¶ Exemples des sainctz/ rendans au seul
Dieu/ gloire ⁊ honneur,	Dieu/ gloire et honneur,
Mais iay eu crainte/ que ie ne trãsferasse lhõ¬	Mais j'ay eu crainte/ que je ne transferasse l'hon¬
neur de mon Dieu a lhomme/ ⁊ que ie ne adorasse	neur de mon Dieu a l'homme/ et que je ne adorasse
aucun fors que mon Dieu. Hester.13.d.	aucun fors que mon Dieu. Hester.13.d.
Cornille se iectant aux piedz le adora/ mais	Cornille se jectant aux piedz le adora/ mais
Pierre le leua disãt: Lieue toy debout/ ie suis aussi	Pierre le leva disant: Lieve toy debout/ je suis aussi
moymesme homme. Act.10.d.	moymesme homme. Act.10.d.
Barnabas et Pierre dirent au peuple/ qui leur	Barnabas et Pierre dirent au peuple/ qui leur
uouloit sacrifier) Hõmes/ pourquoy faictes uous	vouloit sacrifier) Hommes/ pourquoy faictes vous
ces choses? Nous sommes aussi subiectz a pareilz	ces choses? Nous sommes aussi subjectz a pareilz
maux comme uous/ annonceans que uous uous	maux comme vous/ annonceans que vous vous
cõuertissez de ces choses uaines a Dieu uiuãt/ qui	convertissez de ces choses vaines a Dieu vivant/ qui
a faict le ciel/ ⁊ la terre/ ⁊ la mer/ ⁊ toutes choses qͥ	a faict le ciel/ et la terre/ et la mer/ et toutes choses qui
sont en iceux. Actes.14.c.	sont en iceux. Actes.14.c.
Hõmes Israelites/ pourquoy uous esmerueillez	Hommes Israelites/ pourquoy vous esmerveillez
uous de ce: ou pourquoy nous regardez uous/ cõ¬	vous de ce: ou pourquoy nous regardez vous/ com¬
me si par nostre uertu ⁊ piete nous eussions faict q̃	me si par nostre vertu et piete nous eussions faict que
cestuy cheminast? Le Dieu de Abraam/ et Isaac/	cestuy cheminast? Le Dieu de Abraam/ et Isaac/
⁊ Iacob: Dieu de uoz peres a glorifie son filz ⁊c.	et Jacob: Dieu de voz peres a glorifie son filz etc.
Actes.3.b.	Actes.3.b.
Lange dit a sainct Iehan qui le uouloit adorer)	L'ange dit a sainct Jehan qui le vouloit adorer)
Regarde que tu ne le faice/ ie suis seruiteur cõme	Regarde que tu ne le faice/ je suis serviteur comme
toy/ ⁊ tes freres ayãs tesmoignage de Iesus. Adore	toy/ et tes freres ayans tesmoignage de Jesus. Adore
Dieu. Apocalip.19.b.22.b.	Dieu. Apocalip.19.b.22.b.
¶ Item uoyez a ce/ au cõmencement de lexpo¬	¶ Item voyez a ce/ au commencement de l'expo¬
sitiõ tant de loraison dominicale que des arti¬	sition tant de l'oraison dominicale que des arti¬
cles de la foy.	cles de la foy.
¶ Sur le second cõmandement.	¶ Sur le second commandement.
¶ Contre lidolatrie.	¶ Contre l'idolatrie.
Ie suis Leternel/ cest mon nom: ie ne donneray	Je suis L'eternel/ c'est mon nom: je ne donneray
a aucun ma gloire/ ne ma louenge aux images.	a aucun ma gloire/ ne ma louenge aux images.
Isaie.42.b.	Isaie.42.b.
Leternel uostre dieu a parle du millieu du feu/	L'eternel vostre dieu a parle du millieu du feu/
Uous auez ouy la uoix des parolles/ mais pas na	Vous avez ouy la voix des parolles/ mais pas n'a¬
uez ueu la semblance: fors que la uoix. Et uoꝰ an¬	vez veu la semblance: fors que la voix. Et vous an¬
nõcea son alliãce/ laquelle uous cõmanda a faire:	noncea son alliance/ laquelle vous commanda a faire:
cestascauoir dix parolles/ ⁊ les escrit sur deux ta¬	c'est ascavoir dix parolles/ et les escrit sur deux ta¬
bles de pierre. Et me cõmanda Leternel en ce tẽps	bles de pierre. Et me commanda L'eternel en ce temps
la/ de uous enseigner les ordõnances/ ⁊ iugemẽs:	la/ de vous enseigner les ordonnances/ et jugemens:
affin que uous les faciez en la terre/ a laq̃lle uous	affin que vous les faciez en la terre/ a laquelle vous
passez pour la posseder. Et prenez garde songneu¬	passez pour la posseder. Et prenez garde songneu¬
semẽt a uoz ames/ car uous nauez ueu nulle sem¬	sement a voz ames/ car vous n'avez veu nulle sem¬
blance au iour q̃ Leternel/ uostre dieu parla a uoꝰ	blance au jour que L'eternel/ vostre dieu parla a vous
en Horeb du millieu du feu: affin que ne soyez cor¬	en Horeb du millieu du feu: affin que ne soyez cor¬
rõpus/ ⁊ faciez pour uous tailleure/ similitude de	rompus/ et faciez pour vous tailleure/ similitude de
image quelconque/ soit espece de masle/ ou de fe¬	image quelconque/ soit espece de masle/ ou de fe¬
melle. 5.Moyse.4.b.	melle. 5.Moyse.4.b.
Prenez garde a uous: affin q̃ ne oubliez lallian	Prenez garde a vous: affin que ne oubliez l'allian¬
ce de Leternel uostre dieu/ laq̃lle a faict auec uous	ce de L'eternel vostre dieu/ laquelle a faict avec vous
⁊ que ne uous faciez image taillee de tout ce q̃ Le¬	et que ne vous faciez image taillee de tout ce que L'e¬
ternel uostre dieu uous a defẽdu: car Leternel ton	ternel vostre dieu vous a defendu: car L'eternel ton
dieu/ est un feu deuorant/ ⁊ un dieu ialoux. Quãd	dieu/ est un feu devorant/ et un dieu jaloux. Quand
tu auras engendre des enfans/ ⁊ enfans de tes en¬	tu auras engendre des enfans/ et enfans de tes en¬
fans/ ⁊ auras demoure en la terre. Si lhors uous	fans/ et auras demoure en la terre. Si l'hors vous
uous corrõpez ⁊ faictes images taillees/ similitu¬	vous corrompez et faictes images taillees/ similitu¬
de de choses quelcõques/ ⁊ faciez mal deuant ton	de de choses quelconques/ et faciez mal devant ton
seigneur dieu/ ton dieu/ pour le prouocquer a ire:	seigneur dieu/ ton dieu/ pour le provocquer a ire:
ie appelle auiourdhuy en tesmoignage le ciel ⁊ la	je appelle aujourdhuy en tesmoignage le ciel et la
terre contre uous/ que du tout perirez bien tost de	terre contre vous/ que du tout perirez bien tost de
la terre/ en laquelle uous allez oultre le Iordain	la terre/ en laquelle vous allez oultre le Jordain
pour la posseder: et ny prolongerez uoz iours/	pour la posseder: et n'y prolongerez voz jours/
car uous serez du tout destruictz ⁊c. 5.Moy¬	car vous serez du tout destruictz etc. 5.Moy¬
se.4.d.	se.4.d.
A qͥ ferez uous ressembler Dieu/ ⁊ quelle sem¬	A qui ferez vous ressembler Dieu/ et quelle sem¬
blance mettrez uoꝰ pour luy? louurier ne fond il	blance mettrez vous pour luy? l'ouvrier ne fond il
point limage? lorfebure/ ne le figure il point en	point l'image? l'orfebvre/ ne le figure il point en
or? et largentier/ de lames dargent? ⁊c. En auez	or? et l'argentier/ de lames d'argent? etc. En avez
uous congnoissance? lauez uous ouy? Le uous	vous congnoissance? l'avez vous ouy? Le vous
a on annonce des le commencement? ⁊c. A qui	a on annonce des le commencement? etc. A qui
mauez uous faict semblable ⁊ accompare/ dit le	m'avez vous faict semblable et accompare/ dit le
Sainct. Esleuez uoz yeux en haut/ ⁊ regardez qui	Sainct. Eslevez voz yeux en haut/ et regardez qui
a cree ces choses. Isaie.40.e.f.	a cree ces choses. Isaie.40.e.f.
A quoy mauez uous figure/ ⁊ contrefaict: accõ	A quoy m'avez vous figure/ et contrefaict: accom¬
pare et faict semblable? qui tirez lor du sacchet/	pare et faict semblable? qui tirez l'or du sacchet/
et poisez largent aux balances. Uous louez lor¬	et poisez l'argent aux balances. Vous louez l'or¬
febure/ et faict ce dieu. Puis se prosternent et la¬	febvre/ et faict ce dieu. Puis se prosternent et l'a¬
dorent/ ilz le leuent sur leurs espaules/ ilz le por¬	dorent/ ilz le levent sur leurs espaules/ ilz le por¬
tent/ et le posent en son lieu. Lors est arreste	tent/ et le posent en son lieu. Lors est arreste
en son lieu/ et ne se bouge. Et si aucun crie a	en son lieu/ et ne se bouge. Et si aucun crie a
luy/ il ne respond rien/ il ne deliure point de tri¬	luy/ il ne respond rien/ il ne delivre point de tri¬
bulation. Uous souuienne de ce/ et uous fortifiez.	bulation. Vous souvienne de ce/ et vous fortifiez.
Preuaricateurs changez uostre couraige. Ayez sou	Prevaricateurs changez vostre couraige. Ayez sou¬
uenance du temps passe: car moymesme ie suis	venance du temps passe: car moymesme je suis
dieu et ny a autre dieu/ uoire ne comme moy ⁊c.	dieu et n'y a autre dieu/ voire ne comme moy etc.
Isaie.46.b.c.	Isaie.46.b.c.
Ne uous retournez point aux idoles/ ⁊ ne uous	Ne vous retournez point aux idoles/ et ne vous
faictes point de dieux de fonte. 3.Moyse.19.a.	faictes point de dieux de fonte. 3.Moyse.19.a.
2.Moyse.34.c.	2.Moyse.34.c.
Ie suis Leternel uostre dieu/ uous ne uous fe¬	Je suis L'eternel vostre dieu/ vous ne vous fe¬
rez point idoles/ ne images taillees/ ne esleuerez	rez point idoles/ ne images taillees/ ne esleverez
nulz ueaux/ ⁊ ne colloquerez nulle pierre notable	nulz veaux/ et ne colloquerez nulle pierre notable
en uostre terre pour ladorer. Car ie suis le seigneur	en vostre terre pour l'adorer. Car je suis le seigneur
uostre dieu. 3.Moyse.26.a.	vostre dieu. 3.Moyse.26.a.
Donnez uous garde que uostre coeur ne soit	Donnez vous garde que vostre coeur ne soit
seduyt/ et que uous ne uous retirez du seigneur	seduyt/ et que vous ne vous retirez du seigneur
dieu/ et seruiez aux dieux estranges et les adoriez.	dieu/ et serviez aux dieux estranges et les adoriez.
5.Moyse.11.b.	5.Moyse.11.b.
Il nya pas didole en Iacob/ et simulachre nest	Il n'y a pas d'idole en Jacob/ et simulachre n'est
pas ueu en Israel. Le seigñr son dieu est auec luy.	pas veu en Israel. Le seigneur son dieu est avec luy.
4.Moyse.23.c.d.	4.Moyse.23.c.d.
Maudict soit lhomme qui faict image de tail¬	Maudict soit l'homme qui faict image de tail¬
le et de fonte/ qui est en abhomination au sei¬	le et de fonte/ qui est en abhomination au sei¬
gneur/ loeuure des mains des ouuriers/ et qui la	gneur/ l'oeuvre des mains des ouvriers/ et qui la
mettra en lieu secret. Et tout le peuple respondra ⁊	mettra en lieu secret. Et tout le peuple respondra et
dira. Ainsi soit il. 5.Moyse.27.c.	dira. Ainsi soit il. 5.Moyse.27.c.
Et si au millieu de toy se lieue un prophete ou	Et si au millieu de toy se lieve un prophete ou
aucun qui dise quil a ueu un songe/ lequel pre¬	aucun qui dise qu'il a veu un songe/ lequel pre¬
dise signe et chose merueilleuse/ et que ce quil a	dise signe et chose merveilleuse/ et que ce qu'il a
dit soit aduenu/ et quil te dise: Allons ⁊ suyuons	dit soit advenu/ et qu'il te dise: Allons et suyvons
les dieux q̃ tu ne congnois point ⁊ seruons a eux/	les dieux que tu ne congnois point et servons a eux/
tu ne escouteras point les parolles de ce prophete	tu ne escouteras point les parolles de ce prophete
la/ ou du songeur. Car le Seigneur uostre Dieu/	la/ ou du songeur. Car le Seigneur vostre Dieu/
uous tente pour scauoir si manifestement uous le	vous tente pour scavoir si manifestement vous le
