¶ Sũmaire/ ⁊ briefue	¶ Summaire/ et briefve
pechez est dõne par le seul	pechez est donne par le seul
Dieu: car luy seul est qui	Dieu: car luy seul est qui
mour de soymesme. Et cela qui est	mour de soymesme. Et cela qui est
dict aux apostres/ ⁊ a ceulx qͥ por¬	dict aux apostres/ et a ceulx qui por¬
tent la parolle de Dieu. Ceulx a qͥ	tent la parolle de Dieu. Ceulx a qui
uous remettrez les pechez/ ilz leur	vous remettrez les pechez/ ilz leur
retiẽdrez/ ilz sont retenuz. Il a este	retiendrez/ ilz sont retenuz. Il a este
declaire parauãt en larticle ðs clefz	declaire paravant en l’article des clefz
du royaume/ que ce nest autre chose	du royaume/ que ce n’est autre chose
q̃ annoncer la remission des pechez	que annoncer la remission des pechez
croyẽt lobtiẽnẽt/ ⁊ ceulx qͥ ny croyẽt	croyent l’obtiennent/ et ceulx qui n’y croyent
demeurent en leurs pechez.	demeurent en leurs pechez.
Les indulgences ⁊ pardons des	Les indulgences et pardons des
Papes ⁊ semblables/ peuuent bien	Papes et semblables/ peuvent bien
mais non pas les pechez: ains les	mais non pas les pechez: ains les
aggrauẽt ⁊ augmentẽt/ pour ce que	aggravent et augmentent/ pour ce que
on croit par le Pape ⁊ par argent	on croit par le Pape et par argent
auoir le don de Dieu/ remissiõ des	avoir le don de Dieu/ remission des
le prebstre baille en barbottant/ et	le prebstre baille en barbottant/ et
mettant la main sur la teste. Cest	mettant la main sur la teste. C’est
resuerie cuider que par la creance et	resverie cuider que par la creance et
estimation quon a croyãt a ceste pa	estimation qu’on a croyant a ceste pa¬
stre/ quõ ayt remissiõ. Ou est lescri	stre/ qu’on ayt remission. Ou est l’escri¬
pture que croyant ce/ on ayt remis¬	pture que croyant ce/ on ayt remis¬
sion? Ou est la promesse?	sion? Ou est la promesse?
Mais quand on annonce a tous	Mais quand on annonce a tous
te ⁊ amour au monde quil a donne	te et amour au monde qu’il a donne
sõ seul ⁊ tres ayme filz pour sauuer	son seul et tres ayme filz pour sauver
le monde: lequel a espandu son pre	le monde: lequel a espandu son pre¬
cieux sãg pour la remission de noz	cieux sang pour la remission de noz
tes noz faultes. Et qͥl est laigneau	tes noz faultes. Et qu’il est l’aigneau
de Dieu qͥ a porte les pechez du mõ	de Dieu qui a porte les pechez du mon¬
de. Urayement en croyant cecy par	de. Vrayement en croyant cecy par
uraye foy/ noz coeurs sõt purifiez/	vraye foy/ noz coeurs sont purifiez/
ceste foy mais demãde autre chose/	ceste foy mais demande autre chose/
⁊ se fie en ses oeuures/ es indulgen	et se fie en ses oeuvres/ es indulgen¬
ces/ cõfessiõs/ suffrages/ ou en q̃lq̃	ces/ confessions/ suffrages/ ou en quelque
chose que ce soit/ il demeure en la	chose que ce soit/ il demeure en la
seul filz de Dieu. Car si par autre	seul filz de Dieu. Car si par autre
chose nous pouuiõs estre absoulz q̃	chose nous pouvions estre absoulz que
par Iesuchrist/ pour neant il seroit	par Jesuchrist/ pour neant il seroit
mort. Et si autremẽt nous pou¬	mort. Et si autrement nous pou¬
guaris de noz maulx/ pour neant	guaris de noz maulx/ pour neant
Christ auroit espandu son sang et	Christ auroit espandu son sang et
souffert tant de playes. En quoy	souffert tant de playes. En quoy
on uoit bien lescripture accõplie de	on voit bien l’escripture accomplie de
luy qui nous a racheptez: cest nostre	luy qui nous a racheptez: c’est nostre
sauueur Iesus uraye puissance et	sauveur Jesus vraye puissance et
uertu de Dieu/ parfaicte ⁊ suffisã¬	vertu de Dieu/ parfaicte et suffisan¬
te pour nous sauuer. Quand en	te pour nous sauver. Quand en
remission des pechez ⁊ pardon: tant	remission des pechez et pardon: tant
en pelerinages/ indulgences ⁊ au¬	en pelerinages/ indulgences et au¬
tres choses cõtrouuees/ dequoy nya	tres choses controuvees/ dequoy n’y a
promesse quelcõque en lescripture/	promesse quelconque en l’escripture/
christ. Car il ny a autre chose soubz	christ. Car il n’y a autre chose soubz
le ciel en quoy on puisse estre sau¬	le ciel en quoy on puisse estre sau¬
ue/ sinon au nom de Iesus.	ve/ sinon au nom de Jesus.
¶ De satisfaction Cha.xxxi.	¶ De satisfaction Chapitre.xxxi.
Atisfaction poͬ les pechez	Atisfaction pour les pechez
cõme par chose que lhõme	comme par chose que l’homme
puisse faire/ est p̃sumptiõ	puisse faire/ est presumption
tresgrande ⁊ tresfolle/ plei	tres grande et tres folle/ plei¬
⁊ sa saincte parolle/ entant q̃ cendre	et sa saincte parolle/ entant que cendre
⁊ pouldre p̃sume ⁊ se enorgueillist/	et pouldre presume et se enorgueillist/
de ce q̃lle na ⁊ ne peult auoir/ cest de	de ce qu’elle n’a et ne peult avoir/ c’est de
satisfaire a linfinie iustice de Dieu.	satisfaire a l’infinie justice de Dieu.
cace de la mort ⁊ passiõ de Iesus/ ⁊	cace de la mort et passion de Jesus/ et
leffusion de son precieux sang/ com	l’effusion de son precieux sang/ com¬
me insuffisante pour appaiser ⁊ cõ	me insuffisante pour appaiser et con¬
tenter nostre pere/ ⁊ destourner son	tenter nostre pere/ et destourner son
porte noz pechez en la croix portãt	porte noz pechez en la croix portant
noz peines ⁊ langueurs: mais quil	noz peines et langueurs: mais qu’il
faulsist que tout ce quil a porte fust	faulsist que tout ce qu’il a porte fust
de nulle uigueur ⁊ efficace/ et que	de nulle vigueur et efficace/ et que
portantz noz pechez. Laquelle blas	portantz noz pechez. Laquelle blas¬
pheme on ne scauroit assez uitupe¬	pheme on ne scauroit assez vitupe¬
rer ne cõdamner comme trespleine	rer ne condamner comme tres pleine
de Lantechrist.	de L’antechrist.
peult trouuer deuãt Dieu/ ne fuyr	peult trouver devant Dieu/ ne fuyr
⁊ euiter son ire/ sinon par Iesus/ qͥ	et eviter son ire/ sinon par Jesus/ qui
est nostre mediateur entre Dieu et	est nostre mediateur entre Dieu et
nous. Et quil ne peult estre deslie ⁊	nous. Et qu’il ne peult estre deslie et
peine qͥ luy est deue sinon par le seul	peine qui luy est deue sinon par le seul
Iesꝰ/ ⁊ autre moyẽ ne peult auoir.	Jesus/ et autre moyen ne peult avoir.
Il fault croire q̃ Iesus noꝰ a pur	Il fault croire que Jesus nous a pur¬
ge/ ⁊ a porte noz pechez/ ⁊ la peine	ge/ et a porte noz pechez/ et la peine
rien q̃ nous faisõs ⁊ que deuõs fai¬	rien que nous faisons et que devons fai¬
re ne doit estre poͬ noz pechez: mais	re ne doit estre pour noz pechez: mais
seulemẽt pour lhõneur ⁊ gloire de	seulement pour l’honneur et gloire de
Dieu. Lequel pleinemẽt se tient cõ	Dieu. Lequel pleinement se tient con¬
nous. Ne demãdãt autre chose sinõ	nous. Ne demandant autre chose sinon
que croyons fermemẽt nostre salut	que croyons fermement nostre salut
estre accõply par sa grace/ don ⁊ mi	estre accomply par sa grace/ don et mi¬
sericorde par Iesus/ ⁊ q̃ nous lay¬	sericorde par Jesus/ et que nous l’ay¬
rantz ⁊ aydãtz nostre prochain poͬ	rantz et aydantz nostre prochain pour
lamour de luy/ en luy donnant	l’amour de luy/ en luy donnant
tout hõneur ⁊ gloire que luy seul	tout honneur et gloire que luy seul
nous iustifie/ sauue ⁊ sanctifie/ ne	nous justifie/ sauve et sanctifie/ ne
tus ⁊ puissances.	tus et puissances.
¶ De excommuniement.	¶ De excommuniement.
Chap̃.xxxii.	Chapitre.xxxii.
E	E¬
municatiõ est reiection de	munication est rejection de
la table de nostre Seigñr¬	la table de nostre Seigneur¬
diceluy qͥ est en peche/ du¬	d’iceluy qui est en peche/ du¬
quel il a este admõneste de ung/ de	quel il a este admonneste de ung/ de
congregation de nostre Seigneur	congregation de nostre Seigneur
(cest de ceulx de sa parroisse) de soy	(c’est de ceulx de sa parroisse) de soy
retirer/ lequel nen a rien faict.	retirer/ lequel n’en a rien faict.
Et cecy est faict affin q̃ par hõte	Et cecy est faict affin que par honte
demẽt/ laissant sõ peche. Et poͬ¬	dement/ laissant son peche. Et pour¬
tant nest ordõne lexcommuniemẽt	tant n’est ordonne l’excommuniement
affin que on haysse celuy qui est ex¬	affin que on haysse celuy qui est ex¬
cõmunie: mais quon layme ⁊ corri	communie: mais qu’on l’ayme et corri¬
pour lequel tous ceulx qui ne pren	pour lequel tous ceulx qui ne pren¬
nẽt le pain de action de graces auec	nent le pain de action de graces avec
luy/ doiuent prier Dieu. Cest une	luy/ doivent prier Dieu. C’est une
correction amyable pleine de cha¬	correction amyable pleine de cha¬
de leurs pechez.	de leurs pechez.
Touchant la facon des excõmu	Touchant la facon des excommu¬
niementz du Pape ⁊ des euesques/	niementz du Pape et des evesques/
aussi pres est elle de lexcommunie¬	aussi pres est elle de l’excommunie¬
de Dieu/ ⁊ leͬ doctrine de la doctri¬	de Dieu/ et leur doctrine de la doctri¬
ne de Dieu ⁊ leur uie de la uie des	ne de Dieu et leur vie de la vie des
apostres. Et sus tout monstrent	apostres. Et sus tout monstrent
ilz bien leur asnerie/ quand ilz excõ	ilz bien leur asnerie/ quand ilz excom¬
quelque chose/ leq̃l on ne cõgnoist.	quelque chose/ lequel on ne congnoist.
Cõment puis ie fuyr ung tel en la	Comment puis je fuyr ung tel en la
table de nostre Seigneur leq̃l ie ne	table de nostre Seigneur lequel je ne
cõgnoy/ ne toi aussi Pape ou eues¬	congnoy/ ne toi aussi Pape ou eves¬
Car par lexcõmuniemẽt il est deffẽ	Car par l’excommuniement il est deffen¬
du aux fideles de ne prẽdre le pain	du aux fideles de ne prendre le pain
de nostre Seigneur auec lexcõmu¬	de nostre Seigneur avec l’excommu¬
nie. Nostre Seigͬ a dit ainsi: Si tõ	nie. Nostre Seigneur a dit ainsi: Si ton
tre toy et luy seul. Sil te escou¬	tre toy et luy seul. S’il te escou¬
te/ tu as gaigne ton frere. Mais	te/ tu as gaigne ton frere. Mais
sil ne te escoute/ prẽs deux ou troys	s’il ne te escoute/ prens deux ou troys
auec toy: affin que en la bouche	avec toy: affin que en la bouche
rolle. Et sil ne escoute iceulx/ dis	rolle. Et s’il ne escoute iceulx/ dis
le a lassemblee/ a toute la parroisse/	le a l’assemblee/ a toute la parroisse/
⁊ sil ne loyt il te soit cõme ung infi	et s’il ne l’oyt il te soit comme ung infi¬
dele ⁊ publicain. La nostre Sei¬	dele et publicain. La nostre Sei¬
scaurons auoir failly nous ladmõ	scaurons avoir failly nous l’admon¬
nestons secretemẽt/ ⁊ sil prẽt nostre	nestons secretement/ et s’il prent nostre
admonition il est gaigne a nostre	admonition il est gaigne a nostre
Seigneur. Autremẽt/ pour mieulx	Seigneur. Autrement/ pour mieulx
ou troys bõs personnages: lesquelz	ou troys bons personnages: lesquelz
benignement le corrigent ⁊ admõ¬	benignement le corrigent et admon¬
nestẽt de sa faulte. Et sil ne se ueult	nestent de sa faulte. Et s’il ne se veult
amãder: alors tous ceulx de la par	amander: alors tous ceulx de la par¬
uent prier ⁊ admõnester de soy re¬	vent prier et admonnester de soy re¬
tourner ⁊ laisser son peche. Et si	tourner et laisser son peche. Et si
poͬ tout cecy il ne ueult rien faire¬	pour tout cecy il ne veult rien faire
alors on ne doit cõuerser auec luy¬	alors on ne doit converser avec luy
lequel tu ne uouldroys point uenir	lequel tu ne vouldroys point venir
a la table de nostre Seigͬ ne aussi	a la table de nostre Seigneur ne aussi
cõuerser auec luy approuuãt sa uie	converser avec luy approuvant sa vie
ne sa foy. Mais en toute autre sorte	ne sa foy. Mais en toute autre sorte
le gaigner ⁊ retirer. Ainsi fault con	le gaigner et retirer. Ainsi fault con¬
uerser auec lexcommunie en toute	verser avec l’excommunie en toute
charite.	charite.
De cecy ne gardent rien les pa¬	De cecy ne gardent rien les pa¬
pourtãt le excõmuniemẽt est au¬	pourtant le excommuniement est au¬
tant a craindre cõme une fueille qͥ	tant a craindre comme une fueille qui
tumbe de larbre. Et ce q̃ on la craĩt	tumbe de l’arbre. Et ce que on la craint
a este pour accõplir ce qui a este pre	a este pour accomplir ce qui a este pre¬
la fueille te espouuẽtera cõe le glai	la fueille te espouventera come le glai¬
ue/ ⁊ tu fuyras deuãt luy cõe deuãt	ve/ et tu fuyras devant luy come devant
lespee. Ainsi a lon craint le mouue¬	l’espee. Ainsi a l’on craint le mouve¬
ment dune fueille de papier/ ou pe¬	ment d’une fueille de papier/ ou pe¬
cire ou de plomb/ comme la mort.	cire ou de plomb/ comme la mort.
Mais la ou est foy/ son aduersaire	Mais la ou est foy/ son adversaire
ne peult rien par ses lettres ⁊ ful¬	ne peult rien par ses lettres et ful¬
minations.	minations.
Chap̃.xxxiii.	Chapitre.xxxiii.
L	L¬
Es faulx pasteurs (com	Es faulx pasteurs (com¬
me dit le sauueur) uiẽnẽt	me dit le sauveur) viennent
stementz de brebis/ et de¬	stementz de brebis/ et de¬
dans sont loups rauissãtz: lesquelz	dans sont loups ravissantz: lesquelz
cõbien quilz semblẽt ⁊ disent seruir	combien qu’ilz semblent et disent servir
a Dieu/ toutesfoys ne seruẽt que a	a Dieu/ toutesfoys ne servent que a
ces seduisent ⁊ pillent les simples.	ces seduisent et pillent les simples.
Ceulx icy ne preschent pas la pu	Ceulx icy ne preschent pas la pu¬
re parolle de Dieu: mais leurs son	re parolle de Dieu: mais leurs son¬
ges ⁊ adinuẽtions/ meslãtz la pail	ges et adinventions/ meslantz la pail¬
hõmes (qͥ est appellee diabolique)	hommes (qui est appellee diabolique)
auec la doctrine de nostre Seigñr/	avec la doctrine de nostre Seigneur/
controuuãtz tout plein de nouuel¬	controuvantz tout plein de nouvel¬
les inuẽtions pour seduire le peu¬	les inventions pour seduire le peu¬
tantz uie a ceulx qui sõt mortz par	tantz vie a ceulx qui sont mortz par
peche/ iugeantz a mort ceulx qͥ ont	peche/ jugeantz a mort ceulx qui ont
uraye foy.	vraye foy.
Et sus tout leur doctrine est de	Et sus tout leur doctrine est de
en leͬs maĩs/ ou il est la en la main	en leurs mains/ ou il est la en la main
dũg autre/ ou il est au lieu secret fer	d’ung autre/ ou il est au lieu secret fer¬
me dedãs une boitte. Et ueullent	me dedans une boitte. Et veullent
cõfermer la ꝑolle par faulx signes	confermer la parolle par faulx signes
serõt deceutz/ cercheãtz ca bas celuy	seront deceutz/ cercheantz ca bas celuy
quil fault cercher la sus a la dextre	qu’il fault cercher la sus a la dextre
de Dieu/ non pas sur la terre.	de Dieu/ non pas sur la terre.
Ceulx icy se nourrissẽt eulx mes¬	Ceulx icy se nourrissent eulx mes¬
le laict (cest le trauail des paoures	le laict (c’est le travail des paovres
gẽs) ilz le deuorẽt par tãt de moyẽs	gens) ilz le devorent par tant de moyens
quil nest possible de les penser. Sil	qu’il n’est possible de les penser. S’il
y a aucun gras/ par force de fonda¬	y a aucun gras/ par force de fonda¬
pasture de la parolle de Dieu/ il nẽ	pasture de la parolle de Dieu/ il n’en
est aucune q̃stion: ains la fault des¬	est aucune question: ains la fault des¬
fendre au feu ⁊ a lespee q̃lle ne uiẽ¬	fendre au feu et a l’espee qu’elle ne vien¬
ne auant.	ne avant.
par leurs fruictz uous les cõgnoi¬	par leurs fruictz vous les congnoi¬
strez/ regardez leur orgueil/ enuie/	strez/ regardez leur orgueil/ envie/
auarice/ ⁊ hardie paillardise. Et	avarice/ et hardie paillardise. Et
si ne pouez autremẽt entendre/ con¬	si ne povez autrement entendre/ con¬
a predict/ quilz ont renõce la foy/ et	a predict/ qu’ilz ont renonce la foy/ et
leur doctrine est diabolique/ poͬtãt	leur doctrine est diabolique/ pourtant
quilz deffendent le sainct mariage/	qu’ilz deffendent le sainct mariage/
tellement quil nest loysible de soy	tellement qu’il n’est loysible de soy
cõbien que Dieu nen ayt rien deffẽ	combien que Dieu n’en ayt rien deffen¬
du. Et aussi en ce qͥlz deffendẽt les	du. Et aussi en ce qu’ilz deffendent les
uiandes/ cõme si la uiãde noꝰ fai¬	viandes/ comme si la viande nous fai¬
soit pires ẽuers Dieu en ung tẽps	soit pires envers Dieu en ung temps
la bouche souillast lhõme/ cõe si la	la bouche souillast l’homme/ come si la
creature que Dieu a dõnee pour en	creature que Dieu a donnee pour en
user ⁊ mãger ne fust bõne: ⁊ quon	user et manger ne fust bonne: et qu’on
la deust reiecter: combien que la pa	la deust rejecter: combien que la pa¬
de leur doctrine.	de leur doctrine.
¶ Du bon pasteur.	¶ Du bon pasteur.
Chap̃.xxxiiii.	Chapitre.xxxiiii.
L	L¬
steur sus tous/ est nostre	steur sus tous/ est nostre
Seigneur Iesus/ lequel a	Seigneur Jesus/ lequel a
mis sa uie poͬ ses brebis/	mis sa vie pour ses brebis/
laissant sa refection poͬ nourrir les	laissant sa refection pour nourrir les
parolle. Car sa uiande qͥl desire sus	parolle. Car sa viande qu’il desire sus
tout/ cest de faire la uolũte de dieu	tout/ c’est de faire la volunte de dieu
son pere. En nourrissant les bre	son pere. En nourrissant les bre¬
bis/ il ne parle point de soymesme/	bis/ il ne parle point de soymesme/
parle en luy/ ⁊ oeuure en luy.	parle en luy/ et oeuvre en luy.
Sa doctrine/ est la doctrine de sõ	Sa doctrine/ est la doctrine de son
pere/ il ne cõtreuient point a la loy/	pere/ il ne contrevient point a la loy/
ne aux prophetes: mais les garde ⁊	ne aux prophetes: mais les garde et
q̃ on contreuiẽne a lescripture: mais	que on contrevienne a l’escripture: mais
faict q̃lle soit accõplie. Selon laq̃lle	faict qu’elle soit accomplie. Selon laquelle
il a enseigne ⁊ appris ses brebis et	il a enseigne et appris ses brebis et
disciples leur ouurãt lintelligẽce di	disciples leur ouvrant l’intelligence d’i¬
niere de faire quon uoit en cestuy	niere de faire qu’on voit en cestuy
bon pasteur/ fault congnoistre les	bon pasteur/ fault congnoistre les
autres. Car autant que lon suyura	autres. Car autant que l’on suyvra
Iesus/ autãt sera lon bon pasteur:	Jesus/ autant sera lon bon pasteur:
tant plus sera lon prochain de Lan	tant plus sera lon prochain de L’an¬
techrist.	techrist.
Et pourtant le bon pasteur ⁊ fi¬	Et pourtant le bon pasteur et fi¬
dele ministre/ despẽsier/ ⁊ seruiteur	dele ministre/ despensier/ et serviteur
dãment desirera la uie ⁊ salut des	damment desirera la vie et salut des
paoures ames/ oubliant soymesme	paovres ames/ oubliant soymesme
pour les nourrir de la parolle/ cer¬	pour les nourrir de la parolle/ cer¬
chant ce qui est a Iesus ⁊ non pas	chant ce qui est a Jesus et non pas
les brebis a uiure selon la saincte ⁊	les brebis a vivre selon la saincte et
bõne uolũte de Dieu par saine do¬	bonne volunte de Dieu par saine do¬
ctrine ⁊ exẽple de bonne uie. Il	ctrine et exemple de bonne vie. Il
ne controuuera rien de soy/ ne aussi	ne controuvera rien de soy/ ne aussi
ꝑ autre/ mesme quãd ce seroit ung	par autre/ mesme quand ce seroit ung
ãge du ciel qͥ lauroit trouuee: mais	ange du ciel qui l’auroit trouvee: mais
seulemẽt proposera aux brebis ce qͥl	seulement proposera aux brebis ce qu’il
croyt ꝑfaictemẽt ⁊ ce qui est ferme ⁊	croyt parfaictement et ce qui est ferme et
Ne souffrãt quon mette en nouuel¬	Ne souffrant qu’on mette en nouvel¬
le subiection par tradition ou ordõ	le subjection par tradition ou ordon¬
nãce humaine les brebis affrãchies	nance humaine les brebis affranchies
par nostre Seigñr Iesus. Car tou	par nostre Seigneur Jesus. Car tou¬
tres choses qui sont par dehors/ les	tres choses qui sont par dehors/ les
fideles en peuuent user a lhõneur ⁊	fideles en peuvent user a l’honneur et
gloire de Dieu/ en tout biẽ/ sãs fai¬	gloire de Dieu/ en tout bien/ sans fai¬
re aucune differẽce/ sãs toutesfoys	re aucune difference/ sans toutesfoys
Car tout est franc ⁊ libre au Chre¬	Car tout est franc et libre au Chre¬
stien/ lequel estãt filz de Dieu/ ce qͥ	stien/ lequel estant filz de Dieu/ ce qui
est a Dieu luy est dõne poͬ en user	est a Dieu luy est donne pour en user
sainctement.	sainctement.
seignera la uraye iustice estre au	seignera la vraye justice estre au
coeur/ leq̃l ayãt uraye ⁊ entiere foy/	coeur/ lequel ayant vraye et entiere foy/
ayme pleinement Dieu/ ⁊ son pro¬	ayme pleinement Dieu/ et son pro¬
chain pour lamour de Dieu. Ainsi	chain pour l’amour de Dieu. Ainsi
la parolle de Dieu sãs y riẽ mesler/	la parolle de Dieu sans y rien mesler/
est diligẽt apres la saincte escriptu¬	est diligent apres la saincte escriptu¬
re ou il se exerce pour exhorter/ re¬	re ou il se exerce pour exhorter/ re¬
prẽdre ⁊ admõnester/ corriger ⁊ en¬	prendre et admonnester/ corriger et en¬
seruẽt a nostre Seigneur selon ses	servent a nostre Seigneur selon ses
sainctz commandemens.	sainctz commandemens.
Et en hõnorant le sainct estat de	Et en honnorant le sainct estat de
mariage sera mary dune seule fem	mariage sera mary d’une seule fem¬
ligẽt apres les brebis/ plein de bon¬	ligent apres les brebis/ plein de bon¬
nes meurs/ logeant uoluntiers et	nes meurs/ logeant voluntiers et
receuãt amiablemẽt en sa maison/	recevant amiablement en sa maison/
qͥ puisse enseigner ⁊ ĩstruire/ nestãt	qui puisse enseigner et instruire/ n’estant
ne a deshonneste ⁊ uilain gaing:	ne a deshonneste et vilain gaing:
mais de bõne cõscience ⁊ iuste/ non	mais de bonne conscience et juste/ non
noyseux/ ne batteur/ sans auarice/	noyseux/ ne batteur/ sans avarice/
scauãt bien gouuerner sa maison/	scavant bien gouverner sa maison/
nestete/ nestant pas nouice ⁊ inex¬	nestete/ n’estant pas novice et inex¬
pert: ainsi que la saincte escripture	pert: ainsi que la saincte escripture
nous propose. Selon laq̃lle fault q̃	nous propose. Selon laquelle fault que
tous les fideles apprennent a con¬	tous les fideles apprennent a con¬
luy est cõtraire. Car tout est ordõne	luy est contraire. Car tout est ordonne
autrement de Dieu/ quil nest alle	autrement de Dieu/ qu’il n’est alle
iusque a present. Car les pasteurs	jusque a present. Car les pasteurs
doiuẽt seruir aux brebis/ ⁊ non pas	doivent servir aux brebis/ et non pas
tous ⁊ debout/ ⁊ les brebis cõe les	tous et debout/ et les brebis come les
plus grandz estre assis.	plus grandz estre assis.
¶ De la puissance des pasteurs.	¶ De la puissance des pasteurs.
Chap̃.xxxu.	Chapitre.xxxv.
Oute la puissance des pa	Oute la puissance des pa¬
steͬs/ est de edifier en biẽ/	steurs/ est de edifier en bien/
instruire ⁊ ẽseigner le peu	instruire et enseigner le peu¬
ple ꝑ la pure ⁊ simple pa¬	ple par la pure et simple pa¬
peuuẽt faire cõme pasteurs: mais	peuvent faire comme pasteurs: mais
sont tournez en loups rauissantz et	sont tournez en loups ravissantz et
faulx ꝓphetes: cõe Dieu permect/	faulx prophetes: come Dieu permect/
pour les pechez du peuple.	pour les pechez du peuple.
rement euãgelizent/ Dieu parle en	rement evangelizent/ Dieu parle en
eulx par si grãd uertu q̃ les croyãs	eulx par si grand vertu que les croyans
ont uie eternelle/ ⁊ les infideles sõt	ont vie eternelle/ et les infideles sont
cõfondus. Et iamais messagier	confondus. Et jamais messagier
sera uaincu. Car Dieu (ainsi qͥl a	sera vaincu. Car Dieu (ainsi qu’il a
promis) dõne aux siens bouche et	promis) donne aux siens bouche et
sagesse/ contre laquelle personne ne	sagesse/ contre laquelle personne ne
peult resister.	peult resister.
resister a la saĩcte doctrine de dieu/	resister a la saincte doctrine de dieu/
se retourne sur les corps de ceulx qͥ	se retourne sur les corps de ceulx qui
portent la parolle: pourtãt q̃ raison	portent la parolle: pourtant que raison
leͬ fault/ mettãtz a mort les urays	leur fault/ mettantz a mort les vrays
les prophetes/ ⁊ nostre Seigñr Ie	les prophetes/ et nostre Seigneur Je¬
sus auec ses apostres. Et ce affin q̃	sus avec ses apostres. Et ce affin que
plus a plein on cõgnoisse la uertu	plus a plein on congnoisse la vertu
de la uerite (q̃ les seruiteͬs de Dieu	de la verite (que les serviteurs de Dieu
de/ ⁊ du tout en tout cõtraire a luy.	de/ et du tout en tout contraire a luy.
Ne uoyõs nous pas les liures qͥ	Ne voyons nous pas les livres qui
traictent de nostre Seigneur auoir	traictent de nostre Seigneur avoir
este bruslez/ ⁊ deffẽdu sur grosse pei	este bruslez/ et deffendu sur grosse pei¬
quoy on uoit bien q̃ le fondemẽt de	quoy on voit bien que le fondement de
ceulx qui les deffendẽt/ ⁊ fõt deffẽ¬	ceulx qui les deffendent/ et font deffen¬
dre/ est tresmal fonde ⁊ fort debile.	dre/ est tres mal fonde et fort debile.
Le uray Chrestien qui est fonde	Le vray Chrestien qui est fonde
ouyr. Ie liray assez de liures ame¬	ouyr. Je liray assez de livres ame¬
nantz tant de raisõs quon scauroit	nantz tant de raisons qu’on scauroit
amener/ tant de miracles ⁊ signes/	amener/ tant de miracles et signes/
⁊ telles choses que les superstitieux	et telles choses que les superstitieux
quil soit q̃ ung seul Dieu/ ⁊ que ie	qu’il soit que ung seul Dieu/ et que je
serue ⁊ inuocque autre que luy.	serve et invocque autre que luy.
Mais uoulez uous plus grosse for	Mais voulez vous plus grosse for¬
senerie et rage? la ou liberalement	senerie et rage? la ou liberalement
mocq̃ries/ uilenies/ ⁊ paillardises/	mocqueries/ vilenies/ et paillardises/
chãsõs deshõnestes ⁊ folles/ liures	chansons deshonnestes et folles/ livres
pleins de toute uanite/ ordure/ mẽ¬	pleins de toute vanite/ ordure/ men¬
teries ⁊ blasphemes/ uillaines et	teries et blasphemes/ villaines et
la corruption ⁊ perdition de tous	la corruption et perdition de tous
estatz/ en quoy lire de Dieu est inci	estatz/ en quoy l’ire de Dieu est inci¬
tee ⁊ ꝓuocquee sur tous. La nest	tee et provocquee sur tous. La n’est
permis lyre le sainct euangile aux	permis lyre le sainct evangile aux
le nouueau testamẽt/ contenant la	le nouveau testament/ contenant la
mort ⁊ passion de Iesus/ la doctri¬	mort et passion de Jesus/ la doctri¬
ne q̃ chascun Chrestien doit tenir et	ne que chascun Chrestien doit tenir et
croire/ est deffendu.	croire/ est deffendu.
leil peulx tu iecter tes rays sur tel	leil peulx tu jecter tes rays sur tel
pays? O terre peulx tu porter tel¬	pays? O terre peulx tu porter tel¬
les gẽs ⁊ dõner fruict a tel peuple/	les gens et donner fruict a tel peuple/
qui ainsi contẽne ⁊ desprise tõ crea¬	qui ainsi contemne et desprise ton crea¬
estes uoꝰ si misericordieux/ ⁊ si tar	estes vous si misericordieux/ et si tar¬
dif a ire ⁊ uengeance contre ung si	dif a ire et vengeance contre ung si
tres grãd oultrage faict cõtre uoꝰ?	tres grand oultrage faict contre vous?
Et aussi nauez uous pas ordonne	Et aussi n’avez vous pas ordonne
ses sainctes ordõnãces q̃ uous luy	ses sainctes ordonnances que vous luy
auez cõmãde nous enseigner soyẽt	avez commande nous enseigner soyent
deffendues cõme iniques/ meschan	deffendues comme iniques/ meschan¬
tes ⁊ dõmageuses a ceulx qͥ les li¬	tes et dommageuses a ceulx qui les li¬
la loy de Mahumet/ laq̃lle persõne	la loy de Mahumet/ laquelle personne
nose lire/ ne parler delle sinon cer¬	n’ose lire/ ne parler d’elle sinon cer¬
tains? Est il cõme liure dẽchãteurs	tains? Est il comme livre d’enchanteurs
⁊ malefiques/ q̃ tous ne losent lire?	et malefiques/ que tous ne l’osent lire?
escrit est ce chose plus saincte/ meil¬	escrit est ce chose plus saincte/ meil¬
leure ⁊ plus utile a tous que ce que	leure et plus utile a tous que ce que
claiement Iesus a enseigne/ ueu q̃	claiement Jesus a enseigne/ veu que
iamais il na este deffendu a ꝑsonne	jamais il n’a este deffendu a personne
risiens/ le peuple des Iuifz/ la Sa	risiens/ le peuple des Juifz/ la Sa¬
maritaine/ uous sõt ilz plus chiers	maritaine/ vous sont ilz plus chiers
que les paoures gẽs qui portent le	que les paovres gens qui portent le
nom de uostre filz/ appellez Chre¬	nom de vostre filz/ appellez Chre¬
saincte escripture: ⁊ non pas iceulx	saincte escripture: et non pas iceulx
qui ont le nom de Chrestiẽs? Sei¬	qui ont le nom de Chrestiens? Sei¬
gneur nauez uous pas cõmande q̃	gneur n’avez vous pas commande que
