¶ Linstruction des	¶ L’instruction des
Les parolles que ie uous dy/ sont esperit et uie.	Les parolles que je vous dy/ sont esperit et vie.
Ceste est la uie eternelle: que il te congnoissent	Ceste est la vie eternelle: que il te congnoissent
seul uray Dieu/ ⁊ Iesuchrist lequel tu as enuoye.	seul vray Dieu/ et Jesuchrist lequel tu as envoye.
Ie suis la resurrectiõ ⁊ la uie/ qui croit en moy/	Je suis la resurrection et la vie/ qui croit en moy/
croit en moy ne mourra poĩt eternellemẽt. Ieh.11.c.	croit en moy ne mourra point eternellement. Jeh.11.c.
Quiconque croit en luy ne perira point/ mais	Quiconque croit en luy ne perira point/ mais
En uerite/ en uerite/ ie uous dy/ que qui oyt ma	En verite/ en verite/ je vous dy/ que qui oyt ma
nelle. Et ne uiẽt point en cõdẽnation: mais passera	nelle. Et ne vient point en condemnation: mais passera
de la mort en la uie. Iehan.5.d.	de la mort en la vie. Jehan.5.d.
moy a la uie eternelle. Iehan.6.e.	moy a la vie eternelle. Jehan.6.e.
a la uie eternelle. Act̃.13.g. 1.Timo.1.d.	a la vie eternelle. Act̃.13.g. 1.Timo.1.d.
Et ce est le tesmoignage que dieu nous a donne	Et ce est le tesmoignage que dieu nous a donne
Uoyez.) Iehan.4.b.10.b.12.g. 1.Timoth.6.c.	Voyez.) Jehan.4.b.10.b.12.g. 1.Timoth.6.c.
¶ De la plaine uie aduenir.	¶ De la plaine vie advenir.
Quand le prince des pasteurs apparoistra/ uoꝰ	Quand le prince des pasteurs apparoistra/ vous
Et ceste est la promesse/ laquelle iceluy nous a	Et ceste est la promesse/ laquelle iceluy nous a
Il rendra a un chascun selõ ses oeuures: a ceux	Il rendra a un chascun selon ses oeuvres: a ceux
certes qui par perseuerã ce en bien faisant quierent	certes qui par perseverance en bien faisant quierent
Romains.2.b.	Romains.2.b.
dieu/ est uie eternelle/ par Iesus Christ nostre sei¬	dieu/ est vie eternelle/ par Jesus Christ nostre sei¬
gneur. Rom̃.6.d.	gneur. Rom̃.6.d.
heritiers/ heritiers certes de Dieu/ ⁊ coheritiers de	heritiers/ heritiers certes de Dieu/ et coheritiers de
estre glorifiez auec luy. Certainemẽt iestime q̃ les	estre glorifiez avec luy. Certainement j’estime que les
afflictions de ce tẽps/ ne sont point a accõparer a	afflictions de ce temps/ ne sont point a accomparer a
quil a congneu des le commencement: il les a de¬	qu’il a congneu des le commencement: il les a de¬
son filz/ affin quil soit le premier nay entre moult	son filz/ affin qu’il soit le premier nay entre moult
de freres. Et ceux quil a deuant definis: il les a	de freres. Et ceux qu’il a devant definis: il les a
aussi iustifiez. Et ceux qͥl a iustifiez: il les a aussi	aussi justifiez. Et ceux qu’il a justifiez: il les a aussi
Treschers nous sommes maintenant enfans	Tres chers nous sommes maintenant enfans
de Dieu: ⁊ nest point encore apparu ce que nous	de Dieu: et n’est point encore apparu ce que nous
nous serons semblables a luy. Car nous le uer¬	nous serons semblables a luy. Car nous le ver¬
en luy: il se sanctifie/ cõme aussi iceluy est sainct.	en luy: il se sanctifie/ comme aussi iceluy est sainct.
1.Iehan.3.a.	1.Jehan.3.a.
Christ en dieu. Et quand Christ apparoistra qui	Christ en dieu. Et quand Christ apparoistra qui
luy en gloire. Colos.3.a.	luy en gloire. Colos.3.a.
En la resurrection ilz ne se marierõt/ ne seront	En la resurrection ilz ne se marieront/ ne seront
Matth.22.c.	Matth.22.c.
qui mauez ensuiuy: quand le filz de lhomme sera	qui m’avez ensuivy: quand le filz de l’homme sera
assis sur le siege de sa maieste/ en la generation	assis sur le siege de sa majeste/ en la generation
thieu.19.d.	thieu.19.d.
conuertie en ioye ⁊c. Iehan.16.d.	convertie en joye etc. Jehan.16.d.
Nous uoyõs maintenãt par un miroer en ob¬	Nous voyons maintenant par un miroer en ob¬
nant en partie: mais adonc ie cõgnoistray cõme ie	nant en partie: mais adonc je congnoistray comme je
Uous auez receu a ioye le rauissement de uoz	Vous avez receu a joye le ravissement de voz
biens: cõgnoissans que uous auez meilleure ⁊ per¬	biens: congnoissans que vous avez meilleure et per¬
Nous nauons point icy cite permanente: mais	Nous n’avons point icy cite permanente: mais
Ie dõneray a mãger a celuy qui uaincra/ de lar	Je donneray a manger a celuy qui vaincra/ de l’ar¬
bre de uie/ lequel est au paradis de mon Dieu ⁊c.	bre de vie/ lequel est au paradis de mon Dieu etc.
ronne de uie. Apoca.2.b.c.	ronne de vie. Apoca.2.b.c.
Matth.19.d. Marc.10.b. Luc.18.c.	Matth.19.d. Marc.10.b. Luc.18.c.
Ilz regneront en uie par un seul Iesus Christ.	Ilz regneront en vie par un seul Jesus Christ.
Adonc les iustes resplendirõt/ cõme le soleil: au	Adonc les justes resplendiront/ comme le soleil: au
En ce tẽps la sera ton peuple sauue/ tous ceux	En ce temps la sera ton peuple sauve/ tous ceux
qui seront trouuez escritz au liure ⁊c. Dañ.12.a.	qui seront trouvez escritz au livre etc. Dañ.12.a.
me lequel uous est prepare des le commencement	me lequel vous est prepare des le commencement
a manger ⁊c. Adonc aussi dira a ceux qui sont a la	a manger etc. Adonc aussi dira a ceux qui sont a la
senestre: Maudictz departez uous de moy/ au feu	senestre: Maudictz departez vous de moy/ au feu
Et iront ceux icy en torment eternel et les iustes	Et iront ceux icy en torment eternel et les justes
Oeil na point ueu/ ne aureille ouy/ ne est mon	Oeil n’a point veu/ ne aureille ouy/ ne est mon¬
te au coeur dhõme/ quelles sont les choses q̃ dieu	te au coeur d’homme/ quelles sont les choses que dieu
Uoyez) Dañ.12.a. Eccli.24.c. Iehã.4.e.12.d.	Voyez) Dañ.12.a. Eccli.24.c. Jehã.4.e.12.d.
d. Iud.1.a.b. Apoca.2.3.20.21.22.	d. Jud.1.a.b. Apoca.2.3.20.21.22.
¶ Somme des precedens articles.	¶ Somme des precedens articles.
¶ Dieu est manifeste en chair/ iustifie	¶ Dieu est manifeste en chair/ justifie
presche aux Gẽtilz/ creu	presche aux Gentilz/ creu
au monde/ receu	au monde/ receu
¶ Declaration sur les dix cõmande¬	¶ Declaration sur les dix commande¬
mande de bien faire/ et nous deffend	mande de bien faire/ et nous deffend
de mal faire.	de mal faire.
En la montaigne de Sinay/ il dõna a Moyse	En la montaigne de Sinay/ il donna a Moyse
de Dieu. 1.Moyse.31.d.5. Moyse.9.b.	de Dieu. 1.Moyse.31.d.5. Moyse.9.b.
Et lors uous declaira son alliance/ laquelle il	Et lors vous declaira son alliance/ laquelle il
les/ ⁊ les escrit sur deux tables de pierre. 5.Moyse	les/ et les escrit sur deux tables de pierre. 5.Moyse
La loy est saincte/ ⁊ le cõmandemẽt est sainct/ ⁊	La loy est saincte/ et le commandement est sainct/ et
iuste/ ⁊ bon. Rom̃.7.c.	juste/ et bon. Rom̃.7.c.
use legitimement: sachant ce/ que la loy nest point	use legitimement: sachant ce/ que la loy n’est point
Ie nay point congneu peche/ sinon par la loy.	Je n’ay point congneu peche/ sinon par la loy.
Car ie ne congnoissoye point concupiscence: se la	Car je ne congnoissoye point concupiscence: se la
La loy a este nostre instructeur a Christ: affin q̃	La loy a este nostre instructeur a Christ: affin que
La loy est dõnee par Moyse/ grace par Christ.	La loy est donnee par Moyse/ grace par Christ.
Iehan.1.b.	Jehan.1.b.
mediateur iusque a ce que la semence uint/ a laq̃l¬	mediateur jusque a ce que la semence vint/ a laquel¬
¶ Sur le premier cõmandemẽt.	¶ Sur le premier commandement.
¶ De la maieste/ sapience/ ⁊ bonte de Dieu	¶ De la majeste/ sapience/ et bonte de Dieu
auquel seul appartiẽt toute	auquel seul appartient toute
gloire.	gloire.
Escoute Israel/ Leternel nostre Dieu est un	Escoute Israel/ L’eternel nostre Dieu est un
Leternel/ ton dieu est un feu cõsummant/ Dieu	L’eternel/ ton dieu est un feu consummant/ Dieu
Dieu est esperit: ⁊ faut que ceux qui le adorent/	Dieu est esperit: et faut que ceux qui le adorent/
le adorent en esperit ⁊ uerite. Iehan.4.c. 2.Co¬	le adorent en esperit et verite. Jehan.4.c. 2.Co¬
Dieu est charite: et qui demeure en charite il de¬	Dieu est charite: et qui demeure en charite il de¬
Dieu est la lumiere/ ⁊ ny a nulles tenebres en	Dieu est la lumiere/ et n’y a nulles tenebres en
luy. 1.Iehan.1.b.	luy. 1.Jehan.1.b.
dit le Seigneur dieu/ qui est/ ⁊ qui estoit/ et qui est	dit le Seigneur dieu/ qui est/ et qui estoit/ et qui est
Lors Moyse dit a Dieu: Uoicy/ moymesme ay	Lors Moyse dit a Dieu: Voicy/ moymesme ay
este aux enfans Disrael/ ⁊ leur ay dit: Le dieu de	este aux enfans D’israel/ et leur ay dit: Le dieu de
Quel est son nom? Que leur a il dit? Et dieu dit	Quel est son nom? Que leur a il dit? Et dieu dit
ras ainsi aux enfans Disrael: Qui suis/ ma en¬	ras ainsi aux enfans D’israel: Qui suis/ m’a en¬
uoye a uous. Et dieu dit encore a Moyse: Tu di¬	voye a vous. Et dieu dit encore a Moyse: Tu di¬
adire Leternel) Le Dieu de uoz peres/ le Dieu de	adire L’eternel) Le Dieu de voz peres/ le Dieu de
ma enuoye a uous. Ce est mon nom perpetuelle¬	m’a envoye a vous. Ce est mon nom perpetuelle¬
ment/ ⁊ ce est ma cõmemoration en toute genera¬	ment/ et ce est ma commemoration en toute genera¬
Lors dieu parla a Moyse/ ⁊ luy dit: Ie suis Le¬	Lors dieu parla a Moyse/ et luy dit: Je suis L’e¬
cob/ en dieu tout puissant/ ⁊ ne leur ay point dõne	cob/ en dieu tout puissant/ et ne leur ay point donne
a congnoistre mon nom IEOUAH (cestadire	a congnoistre mon nom JEOVAH (c’est adire
Lors Moyse linuocqua. O Eternel Eternel/	Lors Moyse l’invocqua. O Eternel Eternel/
moult debonnaire/ qui garde benignite a milliers/	moult debonnaire/ qui garde benignite a milliers/
qui oste liniquite/ loffense/ ⁊ peche: aussi nul nest	qui oste l’iniquite/ l’offense/ et peche: aussi nul n’est
liniquite des peres sur les enfans des enfans/	l’iniquite des peres sur les enfans des enfans/
Neemie.9.f. Ion.4.a. Ps̈.86.a. Ioel.2.c.	Neemie.9.f. Jon.4.a. Ps̈.86.a. Joel.2.c.
Ie suis grand roy dit Leternel des exercites/	Je suis grand roy dit L’eternel des exercites/
lachie.1.d.	lachie.1.d.
point sinon moy: de dieu iuste/ ⁊ sauueur nen est il	point sinon moy: de dieu juste/ et sauveur n’en est il
point que moy. Isaie.45.d.	point que moy. Isaie.45.d.
nostre dieu? Psalme.17.e.	nostre dieu? Psalme.17.e.
roy sur toute la terre. Psalme.47.b.	roy sur toute la terre. Psalme.47.b.
Qui est ce noble roy/ le fort ⁊ puissãt Eternel.	Qui est ce noble roy/ le fort et puissant Eternel.
Il nya nul sainct/ comme Leternel. Car il ny	Il n’y a nul sainct/ comme L’eternel. Car il n’y
Dieu. 1.Samuel.2.a.	Dieu. 1.Samuel.2.a.
Car Leternel uostre Dieu cest le Dieu des	Car L’eternel vostre Dieu c’est le Dieu des
puissant/ et merueilleux: lequel ne regarde	puissant/ et merveilleux: lequel ne regarde
se.10.d.	se.10.d.
Ce fort/ ce grand/ ce puissant a nom Eternel/	Ce fort/ ce grand/ ce puissant a nom Eternel/
moult grãdz gestes/ duquel les yeux sont ouuers	moult grandz gestes/ duquel les yeux sont ouvers
rẽdre a un chascun selon sa uoye/ ⁊ selon le fruict	rendre a un chascun selon sa voye/ et selon le fruict
de son oeuure. Iere.32.d.	de son oeuvre. Jere.32.d.
des ⁊ merueilleuses: seigñr roy des saĩctz/ tes uoyes	des et merveilleuses: seigneur roy des sainctz/ tes voyes
craindra/ ⁊ ne magnifiera ton nom: Car tu es seul	craindra/ et ne magnifiera ton nom: Car tu es seul
sainct pource uiendront toutes gens/ ⁊ adoreront	sainct pour ce viendront toutes gens/ et adoreront
Apocalip.15.b.	Apocalip.15.b.
seul dieu. Psal.86.b.	seul dieu. Psal.86.b.
Loue soit Leternel/ dieu/ le Dieu Disrael qui	Loue soit L’eternel/ dieu/ le Dieu D’israel qui
Le benoit ⁊ seul prince/ roy/ de ceux qui regnẽt/ ⁊	Le benoit et seul prince/ roy/ de ceux qui regnent/ et
mortalite. 1.Timothee.6.c. Apocalip.19.c.	mortalite. 1.Timothee.6.c. Apocalip.19.c.
Ie suis celuy qui faict toutes choses: iay estẽdu	Je suis celuy qui faict toutes choses: j’ay estendu
Toutes choses qui sont soubz le ciel sont mien-	Toutes choses qui sont soubz le ciel sont mien¬
Ie suis Leternel ⁊ ny a pas dautre/ formant la	Je suis L’eternel et n’y a pas d’autre/ formant la
lumiere ⁊ creant les tenebres/ faisant la prosperi-	lumiere et creant les tenebres/ faisant la prosperi¬
tes ces choses. Isa.45.b.	tes ces choses. Isa.45.b.
ny a nul dieu auec moy. Ie tue ⁊ uiuifie/ ie naure/	n’y a nul dieu avec moy. Je tue et vivifie/ je navre/
et guery: ⁊ ny a nul qui puisse deliurer de mes	et guery: et n’y a nul qui puisse delivrer de mes
Leternel faict mourir ⁊ faict uiure/ il maine a	L’eternel faict mourir et faict vivre/ il maine a
richist/ il abaisse ⁊ haulce/ il eslieue le chetif de la	richist/ il abaisse et haulce/ il eslieve le chetif de la
poudre/ ⁊ le paouure de la fiente pour les faire	poudre/ et le paouvre de la fiente pour les faire
1.Samuel.2.b.	1.Samuel.2.b.
2.Cronicq̃.25.c.	2.Cronicque.25.c.
Ie suis dieu tout puissant: fais que tu chemine	Je suis dieu tout puissant: fais que tu chemine
La terre est au seigneur. Psalme.24.a.	La terre est au seigneur. Psalme.24.a.
me.103.b.	me.103.b.
A toy sont toutes choses/ ⁊ as donne ce q̃ auõs	A toy sont toutes choses/ et as donne ce que avons
Si iay faim/ ie ne le te diray point: car la ron¬	Si j’ay faim/ je ne le te diray point: car la ron¬
Psalme.50.b.	Psalme.50.b.
Dieu qͥ oeuure toutes choses en toꝰ. Phili.2.b.	Dieu qui oeuvre toutes choses en tous. Phili.2.b.
Ephe.4.d.	Ephe.4.d.
pensee ne test cachee. Iob.42.d.	pensee ne t’est cachee. Job.42.d.
Ie suis le premier/ ⁊ suis le dernier/ ⁊ si ny a poĩt	Je suis le premier/ et suis le dernier/ et si n’y a point
calip.1.d.22.c.	calip.1.d.22.c.
Iob.24.a.	Job.24.a.
Celuy qui plante laureille ne orra il pas?	Celuy qui plante l’aureille ne orra il pas?
me.94.b.	me.94.b.
des hommes. 1.des Roix.8.d. 2.Cronicque.6.f.	des hommes. 1.des Roix.8.d. 2.Cronicque.6.f.
Ieremie.17.b.	Jeremie.17.b.
me.44.d.	me.44.d.
Il nest nul bon/ sinon ung seul dieu. Matth.	Il n’est nul bon/ sinon ung seul dieu. Matth.
19.b. Marc.10.b. Luc.18.c.	19.b. Marc.10.b. Luc.18.c.
Romains.3.b.	Romains.3.b.
5.Moyse.23.a. Psalme.92.c.	5.Moyse.23.a. Psalme.92.c.
Ie suis Leternel/ qui ne suis point muable.	Je suis L’eternel/ qui ne suis point muable.
Uers dieu il ny a point de iniquite/ ne de ac¬	Vers dieu il n’y a point de iniquite/ ne de ac¬
nicques.19.c.	nicques.19.c.
Dieu nest pas cõme lhõme/ tellement quil men	Dieu n’est pas comme l’homme/ tellement qu’il men¬
3.Moyse.23.c.	3.Moyse.23.c.
sera auec uous. 1.Corin.13.d.	sera avec vous. 1.Corin.13.d.
Lequel pardonne toutes tes iniquitez/ ⁊ guerit	Lequel pardonne toutes tes iniquitez/ et guerit
Dieu est riche en misericorde. Ephe.2.a.	Dieu est riche en misericorde. Ephe.2.a.
Leternel est ma pierre/ mon boulouart/ ⁊ est ma	L’eternel est ma pierre/ mon boulovart/ et est ma
sauuegarde. Dieu est mon fort/ ie auray esperance	sauvegarde. Dieu est mon fort/ je auray esperance
ma defense/ mon refuge/ mon sauueur tu me deli¬	ma defense/ mon refuge/ mon sauveur tu me deli¬
Certainemẽt iceluy est ma roche/ ⁊ mon salut/	Certainement iceluy est ma roche/ et mon salut/
ma protection/ tellement que ie ne bougeray pas.	ma protection/ tellement que je ne bougeray pas.
forteresse ⁊ mõ esperãce est en dieu. Ps̈.61.b.	forteresse et mon esperance est en dieu. Ps̈.61.b.
estranger auec luy. 5.Moyse.32.b.	estranger avec luy. 5.Moyse.32.b.
Ie suis mesme Leternel de la terre Degipte: Tu	Je suis mesme L’eternel de la terre D’egipte: Tu
a il autre sauueur que moy. Osee.13.b.	a il autre sauveur que moy. Osee.13.b.
Leternel est iceluy dieu/ ⁊ ny a autre que luy seul.	L’eternel est iceluy dieu/ et n’y a autre que luy seul.
5.Moyse.4.f.	5.Moyse.4.f.
Leternel/ est iceluy dieu des cieux en haut: ⁊ sur la	L’eternel/ est iceluy dieu des cieux en haut: et sur la
Ie ne dõneray a personne ma gloire. Isa.48.b.	Je ne donneray a personne ma gloire. Isa.48.b.
Tu adoreras le seigñr ton dieu/ ⁊ a luy seul tu	Tu adoreras le seigneur ton dieu/ et a luy seul tu
A dieu seul sage/ hõneur ⁊ gloire. 1.Timo.1.d.	A dieu seul sage/ honneur et gloire. 1.Timo.1.d.
¶ Exẽples des sainctz/ rendans au seul	¶ Exemples des sainctz/ rendans au seul
Dieu/ gloire ⁊ honneur,	Dieu/ gloire et honneur,
neur de mon Dieu a lhomme/ ⁊ que ie ne adorasse	neur de mon Dieu a l’homme/ et que je ne adorasse
Cornille se iectant aux piedz le adora/ mais	Cornille se jectant aux piedz le adora/ mais
Pierre le leua disãt: Lieue toy debout/ ie suis aussi	Pierre le leva disant: Lieve toy debout/ je suis aussi
Barnabas et Pierre dirent au peuple/ qui leur	Barnabas et Pierre dirent au peuple/ qui leur
ces choses? Nous sommes aussi subiectz a pareilz	ces choses? Nous sommes aussi subjectz a pareilz
maux comme uous/ annonceans que uous uous	maux comme vous/ annonceans que vous vous
a faict le ciel/ ⁊ la terre/ ⁊ la mer/ ⁊ toutes choses qͥ	a faict le ciel/ et la terre/ et la mer/ et toutes choses qui
Hõmes Israelites/ pourquoy uous esmerueillez	Hommes Israelites/ pourquoy vous esmerveillez
uous de ce: ou pourquoy nous regardez uous/ cõ¬	vous de ce: ou pourquoy nous regardez vous/ com¬
cestuy cheminast? Le Dieu de Abraam/ et Isaac/	cestuy cheminast? Le Dieu de Abraam/ et Isaac/
Actes.3.b.	Actes.3.b.
Lange dit a sainct Iehan qui le uouloit adorer)	L’ange dit a sainct Jehan qui le vouloit adorer)
toy/ ⁊ tes freres ayãs tesmoignage de Iesus. Adore	toy/ et tes freres ayans tesmoignage de Jesus. Adore
¶ Item uoyez a ce/ au cõmencement de lexpo¬	¶ Item voyez a ce/ au commencement de l’expo¬
sitiõ tant de loraison dominicale que des arti¬	sition tant de l’oraison dominicale que des arti¬
¶ Sur le second cõmandement.	¶ Sur le second commandement.
Ie suis Leternel/ cest mon nom: ie ne donneray	Je suis L’eternel/ c’est mon nom: je ne donneray
a aucun ma gloire/ ne ma louenge aux images.	a aucun ma gloire/ ne ma louenge aux images.
Leternel uostre dieu a parle du millieu du feu/	L’eternel vostre dieu a parle du millieu du feu/
uez ueu la semblance: fors que la uoix. Et uoꝰ an¬	vez veu la semblance: fors que la voix. Et vous an¬
nõcea son alliãce/ laquelle uous cõmanda a faire:	noncea son alliance/ laquelle vous commanda a faire:
bles de pierre. Et me cõmanda Leternel en ce tẽps	bles de pierre. Et me commanda L’eternel en ce temps
affin que uous les faciez en la terre/ a laq̃lle uous	affin que vous les faciez en la terre/ a laquelle vous
passez pour la posseder. Et prenez garde songneu¬	passez pour la posseder. Et prenez garde songneu¬
blance au iour q̃ Leternel/ uostre dieu parla a uoꝰ	blance au jour que L’eternel/ vostre dieu parla a vous
rõpus/ ⁊ faciez pour uous tailleure/ similitude de	rompus/ et faciez pour vous tailleure/ similitude de
image quelconque/ soit espece de masle/ ou de fe¬	image quelconque/ soit espece de masle/ ou de fe¬
Prenez garde a uous: affin q̃ ne oubliez lallian	Prenez garde a vous: affin que ne oubliez l’allian¬
⁊ que ne uous faciez image taillee de tout ce q̃ Le¬	et que ne vous faciez image taillee de tout ce que L’e¬
ternel uostre dieu uous a defẽdu: car Leternel ton	ternel vostre dieu vous a defendu: car L’eternel ton
tu auras engendre des enfans/ ⁊ enfans de tes en¬	tu auras engendre des enfans/ et enfans de tes en¬
uous corrõpez ⁊ faictes images taillees/ similitu¬	vous corrompez et faictes images taillees/ similitu¬
de de choses quelcõques/ ⁊ faciez mal deuant ton	de de choses quelconques/ et faciez mal devant ton
ie appelle auiourdhuy en tesmoignage le ciel ⁊ la	je appelle aujourdhuy en tesmoignage le ciel et la
la terre/ en laquelle uous allez oultre le Iordain	la terre/ en laquelle vous allez oultre le Jordain
pour la posseder: et ny prolongerez uoz iours/	pour la posseder: et n’y prolongerez voz jours/
se.4.d.	se.4.d.
blance mettrez uoꝰ pour luy? louurier ne fond il	blance mettrez vous pour luy? l’ouvrier ne fond il
point limage? lorfebure/ ne le figure il point en	point l’image? l’orfebvre/ ne le figure il point en
uous congnoissance? lauez uous ouy? Le uous	vous congnoissance? l’avez vous ouy? Le vous
mauez uous faict semblable ⁊ accompare/ dit le	m’avez vous faict semblable et accompare/ dit le
Sainct. Esleuez uoz yeux en haut/ ⁊ regardez qui	Sainct. Eslevez voz yeux en haut/ et regardez qui
A quoy mauez uous figure/ ⁊ contrefaict: accõ	A quoy m’avez vous figure/ et contrefaict: accom¬
et poisez largent aux balances. Uous louez lor¬	et poisez l’argent aux balances. Vous louez l’or¬
febure/ et faict ce dieu. Puis se prosternent et la¬	febvre/ et faict ce dieu. Puis se prosternent et l’a¬
tent/ et le posent en son lieu. Lors est arreste	tent/ et le posent en son lieu. Lors est arreste
luy/ il ne respond rien/ il ne deliure point de tri¬	luy/ il ne respond rien/ il ne delivre point de tri¬
bulation. Uous souuienne de ce/ et uous fortifiez.	bulation. Vous souvienne de ce/ et vous fortifiez.
uenance du temps passe: car moymesme ie suis	venance du temps passe: car moymesme je suis
Isaie.46.b.c.	Isaie.46.b.c.
Ne uous retournez point aux idoles/ ⁊ ne uous	Ne vous retournez point aux idoles/ et ne vous
2.Moyse.34.c.	2.Moyse.34.c.
rez point idoles/ ne images taillees/ ne esleuerez	rez point idoles/ ne images taillees/ ne esleverez
nulz ueaux/ ⁊ ne colloquerez nulle pierre notable	nulz veaux/ et ne colloquerez nulle pierre notable
uostre dieu. 3.Moyse.26.a.	vostre dieu. 3.Moyse.26.a.
seduyt/ et que uous ne uous retirez du seigneur	seduyt/ et que vous ne vous retirez du seigneur
dieu/ et seruiez aux dieux estranges et les adoriez.	dieu/ et serviez aux dieux estranges et les adoriez.
Il nya pas didole en Iacob/ et simulachre nest	Il n’y a pas d’idole en Jacob/ et simulachre n’est
4.Moyse.23.c.d.	4.Moyse.23.c.d.
Maudict soit lhomme qui faict image de tail¬	Maudict soit l’homme qui faict image de tail¬
gneur/ loeuure des mains des ouuriers/ et qui la	gneur/ l’oeuvre des mains des ouvriers/ et qui la
dira. Ainsi soit il. 5.Moyse.27.c.	dira. Ainsi soit il. 5.Moyse.27.c.
Et si au millieu de toy se lieue un prophete ou	Et si au millieu de toy se lieve un prophete ou
dise signe et chose merueilleuse/ et que ce quil a	dise signe et chose merveilleuse/ et que ce qu’il a
les dieux q̃ tu ne congnois point ⁊ seruons a eux/	les dieux que tu ne congnois point et servons a eux/
tu ne escouteras point les parolles de ce prophete	tu ne escouteras point les parolles de ce prophete
uous tente pour scauoir si manifestement uous le	vous tente pour scavoir si manifestement vous le
stre ame ⁊c. 5.Moyse.13.a.	stre ame etc. 5.Moyse.13.a.
Les idoles des gẽs sont or ⁊ argent/ oeuures des	Les idoles des gens sont or et argent/ oeuvres des
Car loeuure de la main de louurier a coppe le	Car l’oeuvre de la main de l’ouvrier a coppe le
gẽt/ ⁊ la attache de cloux/ affin qͥl ne se desioingne	gent/ et l’a attache de cloux/ affin qu’il ne se desjoingne
point ⁊c. Toutes ces choses sõt oeuure douuriers	point etc. Toutes ces choses sont oeuvre d’ouvriers
roy perpetuel. Iere.10.a.b.	roy perpetuel. Jere.10.a.b.
retire de la terre Degypte. Et en a mis un en Be¬	retire de la terre D’egypte. Et en a mis un en Be¬
tel/ ⁊ lautre en Dan. Et ceste chose a este a peche.	tel/ et l’autre en Dan. Et ceste chose a este a peche.
Abbatez leurs autelz/ ⁊ brisez leurs statues/ et	Abbatez leurs autelz/ et brisez leurs statues/ et
peuple saĩct/ au seigneur ton dieu. 5.Moyse.7.a.	peuple sainct/ au seigneur ton dieu. 5.Moyse.7.a.
12.a. 2.Moyse.34.b.	12.a. 2.Moyse.34.b.
ont mue la gloire de dieu immortel/ en similitude	ont mue la gloire de dieu immortel/ en similitude
gloire diceluy en mensonge/ ⁊ ont faict reuerence ⁊	gloire d’iceluy en mensonge/ et ont faict reverence et
seruice plus a la chose cree/ que au createur/ lequel	service plus a la chose cree/ que au createur/ lequel
Ne soyez point idolatres/ ainsi que aucuns de	Ne soyez point idolatres/ ainsi que aucuns de
manger ⁊ pour boire/ ⁊ se sont leuez pour iouer.	manger et pour boire/ et se sont levez pour jouer.
1.Corin.10.b. 2.Moyse.32.b.	1.Corin.10.b. 2.Moyse.32.b.
Enfans donnez uous garde des images. 1.Ie¬	Enfans donnez vous garde des images. 1.Je¬
Nous scauons que limage nest rien au monde/	Nous scavons que l’image n’est rien au monde/
⁊ que nul nest Dieu sinõ ung seul. Car ia soit que	et que nul n’est Dieu sinon ung seul. Car ja soit que
en terre (cõme ilz sont plusieurs dieux ⁊ plusieurs	en terre (comme ilz sont plusieurs dieux et plusieurs
pere/ duquel sont toutes choses ⁊ nous en luy. Et	pere/ duquel sont toutes choses et nous en luy. Et
un Seigñr Iesus Christ/ par lequel toutes choses	un Seigneur Jesus Christ/ par lequel toutes choses
Uoyez) 5.Moyse.4.c.5.a.7.a.12.a. Isa.2.40.42.	Voyez) 5.Moyse.4.c.5.a.7.a.12.a. Isa.2.40.42.
ruch.6. Sapien.13.14.15.16.	ruch.6. Sapien.13.14.15.16.
¶ Item de ceux qui ont abbatu ⁊ oste toutes	¶ Item de ceux qui ont abbatu et oste toutes
Iosaphat. 2.Croniq.9.a. Et Iosias. 2.Roix	Josaphat. 2.Croniq.9.a. Et Josias. 2.Roix
oraison.	oraison.
¶ Sur le .iii. cõmandement.	¶ Sur le .iii. commandement.
dieu en uain ⁊ sans cause.	dieu en vain et sans cause.
sanctifie entre les enfans Disrael. Ie suis Leter¬	sanctifie entre les enfans D’israel. Je suis L’eter¬
nel qui uous sanctifie. 3.Moyse.22.d.	nel qui vous sanctifie. 3.Moyse.22.d.
Tu ne iureras point par mon nom en mentant/	Tu ne jureras point par mon nom en mentant/
3.Moyse.19 c.	3.Moyse.19 c.
Ne iurez au nom de leurs dieux/ et ne seruez a	Ne jurez au nom de leurs dieux/ et ne servez a
dieu/ ce q̃ auez faict iusque a ce iour. Iosue.23.b.	dieu/ ce que avez faict jusque a ce jour. Josue.23.b.
dieux/ ⁊ ne sera poĩt ouy en ta bouche. 2.Moy.23.b	dieux/ et ne sera point ouy en ta bouche. 2.Moy.23.b
Ne iurez nullemẽt/ ne par le ciel/ car cest le thro	Ne jurez nullement/ ne par le ciel/ car c’est le thro¬
de ses piedz: ne par Hierusalem: car cest la cite du	de ses piedz: ne par Hierusalem: car c’est la cite du
peux faire un cheueu blãc ou noir. Mais soit ur̃e	peux faire un cheveu blanc ou noir. Mais soit vostre
parolle/ Ouy/ ouy: Non/ non. Car ce qͥ est adiouste	parolle/ Ouy/ ouy: Non/ non. Car ce qui est adjouste
Dieu certes est ueritable/ que nostre parolle qui	Dieu certes est veritable/ que nostre parolle qui
le filz de dieu Iesus Christ: qui entre uoꝰ par nous	le filz de dieu Jesus Christ: qui entre vous par nous
a este presche/ par moy ⁊ Siluain ⁊ Timothee: na	a este presche/ par moy et Silvain et Timothee: n’a
