¶ Letres certaines dau	¶ Letres certaines d’au¬
appartiẽt de discuter les choses doubteu	appartient de discuter les choses doubteu¬
donne/ ⁊ ceulx qui uiennent apres luy/	donne/ et ceulx qui viennent apres luy/
fault tenir ⁊ garder.	fault tenir et garder.
Assez a este mõstre clairemẽt cõe le souue	Assez a este monstre clairement come le souve¬
este figure de Iesus/ ⁊ nõ de S. Pierre.	este figure de Jesus/ et non de sainct Pierre.
Car lors lhõme seroit figure dũg pur hõ	Car lors l’homme seroit figure d’ung pur hom¬
que le souuerain sacrificateur que uous	que le souverain sacrificateur que vous
ne dautre fors que de Iesus comme par	ne d’autre fors que de Jesus comme par
lepistre aux Ebrieux a este mõstre/ ⁊ de	l’epistre aux Ebrieux a este monstre/ et de
ment a este monstre/ que cest la parolle	ment a este monstre/ que c’est la parolle
fideles salut et remission des pechez: et	fideles salut et remission des pechez: et
ainsi les deslyant comme il appert en ses	ainsi les deslyant comme il appert en ses
receu le S. esperit/ ⁊ en Cornille ⁊ les siẽs	receu le sainct esperit/ et en Cornille et les siens
receu le Saĩct esperit. Actes.10. et .1.3.4.	receu le Sainct esperit. Actes.10. et .1.3.4.
monstrant la uẽgeance des infideles/ et	monstrant la vengeance des infideles/ et
Ananie/ Saphyra/ et Simon magicien.	Ananie/ Saphyra/ et Simon magicien.
promesse de Dieu aux esleuz/ et le salut	promesse de Dieu aux esleuz/ et le salut
aux croyãs: aussi la condẽnation aux re	aux croyans: aussi la condemnation aux re¬
S. Pierre a parle autre que la parolle de	sainct Pierre a parle autre que la parolle de
cõe Iesus luy a dit. Matt.16. ⁊ S. Paul	come Jesus luy a dit. Matt.16. et sainct Paul
aussi la reprins cõme ne cheminãt selon	aussi l’a reprins comme ne cheminant selon
clair que hõme quelque sainct ne bõ quil	clair que homme quelque sainct ne bon qu’il
pure parolle de Dieu. Et sil dit autre¬	pure parolle de Dieu. Et s’il dit autre¬
ment cõe faulx ꝓphete parlant songes ⁊	ment come faulx prophete parlant songes et
ouy cõe nr̃e Seigͬ cõmande Ieremi.23.	ouy come notre Seigneur commande Jeremi.23.
parolle de Dieu/ sont enuoyez de Dieu.	parolle de Dieu/ sont envoyez de Dieu.
Et ne fault en cecy estre legier a croyre	Et ne fault en cecy estre legier a croyre
sont de Dieu. 1.Iehan.4. Car il fault q̃	sont de Dieu. 1.Jehan.4. Car il fault que
la uoix du pasteur Iesus ce qui leur est	la voix du pasteur Jesus ce qui leur est
ꝓpose: ueu q̃lles cõgnoissent la uoix du	propose: veu qu’elles congnoissent la voix du
Nostre Maistre.	Nostre Maistre.
⁊ Leglise ont puyssance de faire ordon¬	et L’eglise ont puyssance de faire ordon¬
nances quil fault tenir/ cõbien que Dieu	nances qu’il fault tenir/ combien que Dieu
ger ⁊ muer le cõmãdemẽt de Dieu. Une	ger et muer le commandement de Dieu. Une
iours ⁊ quõ se reposast le Samedy/ ainsi	jours et qu’on se reposast le Samedy/ ainsi
q̃ les Iuifz gardãs la letre gardent leur	que les Juifz gardans la letre gardent leur
luy a este dõnee/ a change le Samedy au	luy a este donnee/ a change le Samedy au
Seigͬ. Et faict on feste le Dimẽche par	Seigneur. Et faict on feste le Dimenche par
le cõmandemẽt ⁊ ordõnance de Leglise/	le commandement et ordonnance de L’eglise/
Car si lon suyuoit le commandement de	Car si l’on suyvoit le commandement de
le Samedy: ⁊ en faisant ainsi/ lon iudai¬	le Samedy: et en faisant ainsi/ l’on judai¬
zeroit ⁊ seroit mal faict. Et cecy nõ pour	zeroit et seroit mal faict. Et cecy non pour
⁊ dauoir passe le cõmandemẽt dicelle.	et d’avoir passe le commandement d’icelle.
sance de cõstituer/ chãger ⁊ muer: ⁊ quon	sance de constituer/ changer et muer: et qu’on
doit garder ce quelle a ordonne soubz pei	doit garder ce qu’elle a ordonne soubz pei¬
Le Predicant.	Le Predicant.
de nr̃e Seigñr ⁊ son espouse. Ephe.4.5.	de notre Seigneur et son espouse. Ephe.4.5.
en reposant le Dimẽche/ tiẽnẽt le cõman	en reposant le Dimenche/ tiennent le comman¬
uaille six iours/ ⁊ quõ se repose le septies	vaille six jours/ et qu’on se repose le septies¬
nobseruẽt par cõmandemẽt dhomme/ ne	n’observent par commandement d’homme/ ne
faisant distinction de iour ⁊ de iour. Car	faisant distinction de jour et de jour. Car
⁊ tous ilz sanctifient: mais pour ouyr la	et tous ilz sanctifient: mais pour ouyr la
ble ⁊ gardant charite enuers le prochain:	ble et gardant charite envers le prochain:
affin q̃ du continuel trauail il ne soit op¬	affin que du continuel travail il ne soit op¬
Les Chrestiẽs se reposẽt cõuenãs ensem¬	Les Chrestiens se reposent convenans ensem¬
ueult/ qͥ est Dieu non point de dissentiõ	veult/ qui est Dieu non point de dissention
mais de paix/ ne uoulãt quõ presse trop	mais de paix/ ne voulant qu’on presse trop
terono.4. 1.Corin.14. Et ce que uous	terono.4. 1.Corin.14. Et ce que vous
suyuant la letre/ nous nauons que faire	suyvant la letre/ nous n’avons que faire
de leurs obseruations. Car point ne som	de leurs observations. Car point ne som¬
des ennemys de uerite enquerir ⁊ demã¬	des ennemys de verite enquerir et deman¬
q̃ Iesus a monstre ne faisant la Pasque	que Jesus a monstre ne faisant la Pasque
comme eulx: mais a la parolle de Dieu	comme eulx: mais a la parolle de Dieu
iectẽt ⁊ ont reiecte ne receuant le sauueur	jectent et ont rejecte ne recevant le sauveur
Nostre Maistre.	Nostre Maistre.
Sil estoit ainsi quil ne faulsit autre que	S’il estoit ainsi qu’il ne faulsit autre que
uaille six iours/ ainsi q̃ uous dictes quõ	vaille six jours/ ainsi que vous dictes qu’on
suyuroit q̃ iceluy qui reposeroit le Lũdy/	suyvroit que iceluy qui reposeroit le Lundy/
auoir trauaille les six iours auãt ⁊ lau¬	avoir travaille les six jours avant et l’au¬
sant le repos le septiesme iour/ quon gar	sant le repos le septiesme jour/ qu’on gar¬
seroit une grosse confusion en Leglise.	seroit une grosse confusion en L’eglise.
Dautre part le texte a expressemẽt: Me	D’autre part le texte a expressement: Me¬
Ou il est formelemẽt cõmãde de sancti¬	Ou il est formelement commande de sancti¬
glise: mais elle de son autorite ⁊ puyssan	glise: mais elle de son autorite et puyssan¬
ce quelle a de Dieu/ a chãge le Samedy	ce qu’elle a de Dieu/ a change le Samedy
che cõtreuenant au cõmandemẽt de Le¬	che contrevenant au commandement de L’e¬
Le Predicant.	Le Predicant.
Il nest loysible a creature qui soit de chã	Il n’est loysible a creature qui soit de chan¬
autrement fauldroit que la creature fust	autrement fauldroit que la creature fust
auquel elle doit obeyssance ⁊ a luy estre	auquel elle doit obeyssance et a luy estre
du tout subiecte. Ce que ne feroit celuy qͥ	du tout subjecte. Ce que ne feroit celuy qui
pour soy reposer: car il feroit droictement	pour soy reposer: car il feroit droictement
mãdee de Dieu. Et soy diuisant des au¬	mandee de Dieu. Et soy divisant des au¬
tres en son repos seroit reprins de Dieu/	tres en son repos seroit reprins de Dieu/
Sainct esperit nous commãde de dire et	Sainct esperit nous commande de dire et
dez. Car tous deuons tenir une mesme	dez. Car tous devons tenir une mesme
reigle. Galat.6. Ce qui ne seroit quand	reigle. Galat.6. Ce qui ne seroit quand
⁊ ne pourroit on conuenir ensemble.	et ne pourroit on convenir ensemble.
signifie le Samedy/ ⁊ non le Dimenche:	signifie le Samedy/ et non le Dimenche:
le mot ne le porte point. Car il ne signifie	le mot ne le porte point. Car il ne signifie
lescripture/ qung iour sappelle Lundy/	l’escripture/ q’ung jour s’appelle Lundy/
ou autremẽt: mais seulemẽt le Premier/	ou autrement: mais seulement le Premier/
le Second/ le Tiers iour/ ⁊ ainsi des au¬	le Second/ le Tiers jour/ et ainsi des au¬
Dimẽche ne soit point le septiesme/ com¬	Dimenche ne soit point le septiesme/ com¬
Dimenche/ quil ne soit le iour de repos/	Dimenche/ qu’il ne soit le jour de repos/
uous auez gaigne ce point. Mais par la	vous avez gaigne ce point. Mais par la
Et les Chrestiens gardans le Dimẽche	Et les Chrestiens gardans le Dimenche
teurs des iours/ temps/ ⁊ annees. Mais	teurs des jours/ temps/ et annees. Mais
franchemẽt se reposent nõ pour le iour:	franchement se reposent non pour le jour:
fraternelle en lhonneur de Dieu.	fraternelle en l’honneur de Dieu.
iour. Et pourtant quil estoit tard/ le de¬	jour. Et pourtant qu’il estoit tard/ le de¬
mourãt fut remis au lẽdemain. Et nr̃e	mourant fut remis au lendemain. Et notre
prest de respondre a tous/ ⁊ de bien main	prest de respondre a tous/ et de bien main¬
luy dit quil deuoit faire plus dhonneur	luy dit qu’il devoit faire plus d’honneur
a la parolle de Dieu/ ⁊ non ainsi faire en	a la parolle de Dieu/ et non ainsi faire en
Oportet se prestare uirum. A qui fut re¬	Oportet se prestare virum. A qui fut re¬
tu egregie prestas.	tu egregie prestas.
¶ Le Uendredy trentiesme de Ianuier	¶ Le Vendredy trentiesme de Janvier
cens de la uille de Geneue/ estans pre¬	cens de la ville de Geneve/ estans pre¬
Berne/ fut procede cõme sensuyt.	Berne/ fut procede comme s’ensuyt.
Le Predicant.	Le Predicant.
⁊ de ceulx qui sont ordonnez pour seruir	et de ceulx qui sont ordonnez pour servir
proposant purement ⁊ simplement la pa	proposant purement et simplement la pa¬
rolle de Dieu. Car ce qui a este amene du	rolle de Dieu. Car ce qui a este amene du
tique/ ne compete qua Iesus/ duquel ce q̃	tique/ ne compete qu’a Jesus/ duquel ce que
consomme ne faisant ⁊ ne disant rien de	consomme ne faisant et ne disant rien de
soy/ ⁊ autre ne fault quon demande que	soy/ et autre ne fault qu’on demande que
autre ny a salut. Et ce que les Apostres	autre n’y a salut. Et ce que les Apostres
ne de leurs testes: mais par le cõmande¬	ne de leurs testes: mais par le commande¬
ment de Dieu/ menez ⁊ conduictz par le	ment de Dieu/ menez et conduictz par le
sent scandalizez en ceulx qͥ des idolatres	sent scandalizez en ceulx qui des idolatres
anciẽne qui estoit entre eulx/ que pour la	ancienne qui estoit entre eulx/ que pour la
maniere de uiure. Selon la parolle de	maniere de vivre. Selon la parolle de
quon les aye supportez cõe les Apostres	qu’on les aye supportez come les Apostres
nest prins de lordonnance des hommes/	n’est prins de l’ordonnance des hommes/
ne par leur cõmandemẽt garde: mais du	ne par leur commandement garde: mais du
⁊ sans superstition/ ne aussi obseruation	et sans superstition/ ne aussi observation
aye este monstre que les Apostres ou au¬	aye este monstre que les Apostres ou au¬
tres ayẽt autre puyssance/ que simplemẽt	tres ayent autre puyssance/ que simplement
qͥ est la clef des cieulx. Et en tãt qͥlz por¬	qui est la clef des cieulx. Et en tant qu’ilz por¬
la clef/ ⁊ autremẽt non: ⁊ ne sont douyr/	la clef/ et autrement non: et ne sont d’ouyr/
quẽ tant qͥlz disent ce q̃ Dieu cõmande.	qu’en tant qu’ilz disent ce que Dieu commande.
Le passage q̃ iay amene de uenir au p̃stre	Le passage que j’ay amene de venir au prestre
tellement que lame qui ne la garde doit	tellement que l’ame qui ne la garde doit
morir de mort: assez est clair/ q̃ ainsi quen	morir de mort: assez est clair/ que ainsi qu’en
prestre ⁊ iuge. Ainsi maintenãt soubz pei	prestre et juge. Ainsi maintenant soubz pei¬
latz de leglise. Et suffisamment il a este	latz de l’eglise. Et suffisamment il a este
monstre.	monstre.
Il a este monstre clairement que au lieu	Il a este monstre clairement que au lieu
succede Iesꝰ/ qͥ est le souuerain ⁊ eternel	succede Jesus/ qui est le souverain et eternel
sacrificateur et iuge/ et de uostre raison	sacrificateur et juge/ et de vostre raison
si les sacrificateurs ⁊ iuges Leuitiq̃s ne	si les sacrificateurs et juges Levitiques ne
nr̃e Seigñr auoit cõmande par Moyse/	notre Seigneur avoit commande par Moyse/
comme il appert. Deutero.4. ⁊ .12. ou est	comme il appert. Deutero.4. et .12. ou est
Seigñr cõmande sans y adiouster ou di	Seigneur commande sans y adjouster ou di¬
nestre/ ⁊ faire seulemẽt ce quest cõmande	nestre/ et faire seulement ce qu’est commande
sans y adiouster ou diminuer: Par plus	sans y adjouster ou diminuer: Par plus
cõmande/ qui est plus grand ⁊ plus par¬	commande/ qui est plus grand et plus par¬
minuer.	minuer.
Nostre Maistre.	Nostre Maistre.
changer ne muer: mais seulemẽt tenir ce	changer ne muer: mais seulement tenir ce
Seigͬ: Iay a uous dire encore plusieurs	Seigneur: J’ay a vous dire encore plusieurs
choses/ que uous ne pouez porter main¬	choses/ que vous ne povez porter main¬
uenu il uous menera a toute uerite. Ie¬	venu il vous menera a toute verite. Je¬
Iehan.14? Pourquoy nostre Seigñr a	Jehan.14? Pourquoy nostre Seigneur a
il reserue aucunes choses a ses disciples/	il reserve aucunes choses a ses disciples/
Mais les Apostres ap̃s les ont cõman¬	Mais les Apostres apres les ont comman¬
cõmise ⁊ les clefz du royaume des cieulx	commise et les clefz du royaume des cieulx
dõnees/ pour regir ⁊ gouuerner Leglise.	donnees/ pour regir et gouverner L’eglise.
⁊ les mesprisent/ ilz pechent grandement	et les mesprisent/ ilz pechent grandement
quil a dit Matth.10.	qu’il a dit Matth.10.
Le Predicant.	Le Predicant.
a plusieurs choses q̃ les Apostres ne peu¬	a plusieurs choses que les Apostres ne peu¬
seignera/ ne monstrent point que Iesus	seignera/ ne monstrent point que Jesus
aye reserue aucune chose quil deuoit com	aye reserve aucune chose qu’il devoit com¬
tres ordonnances ⁊ dinstituer autremẽt	tres ordonnances et d’instituer autrement
monstre/ combien quilz ne lentendissent	monstre/ combien qu’ilz ne l’entendissent
point/ cõme quil failloit que Iesus mou	point/ comme qu’il failloit que Jesus mou¬
idolatres fussent participans du royau¬	idolatres fussent participans du royau¬
auoit monstre. Et cõe il dit: Ie ne uous	avoit monstre. Et come il dit: Je ne vous
appelleray plus serfz: car le serf ne scait	appelleray plus serfz: car le serf ne scait
dict amys: car tout ce que iay ouy de mon	dict amys: car tout ce que j’ay ouy de mon
Puys q̃ Iesus a manifeste toutes choses	Puys que Jesus a manifeste toutes choses
a ses disciples qͥl a ouyes du pere: quelles	a ses disciples qu’il a ouyes du pere: quelles
ne les entendoient/ pourtant a faillu que	ne les entendoient/ pourtant a faillu que
moire/ ce q̃ Iesus leur auoit dit. Ieh.14.	moire/ ce que Jesus leur avoit dit. Jeh.14.
Et cela Iesus leur cõmande dẽseigner:	Et cela Jesus leur commande d’enseigner:
ces/ leur commandant daller ⁊ enseigner	ces/ leur commandant d’aller et enseigner
de. Matth.28. ⁊ ont este enuoyez les Apo	de. Matth.28. et ont este envoyez les Apo¬
stres/ non point pour estre prelatz et sei¬	stres/ non point pour estre prelatz et sei¬
cõme dit Lapostre .2.Corin.4. Nous ne	comme dit L’apostre .2.Corin.4. Nous ne
sus Christ/ ⁊ nous uoz seruiteurs en nr̃e	sus Christ/ et nous voz serviteurs en notre
Seigneur. Il nappartient au seruiteur	Seigneur. Il n’appartient au serviteur
quand purement portent la parolle de	quand purement portent la parolle de
prise nostre Seigñr: ⁊ qui les oyt/ il oyt	prise nostre Seigneur: et qui les oyt/ il oyt
nostre Seigneur/ duquel ilz portẽt la pa	nostre Seigneur/ duquel ilz portent la pa¬
par lesperit de Dieu. Matt.10. Parquoy	par l’esperit de Dieu. Matt.10. Parquoy
parle/ quil parle les parolles de Dieu.	parle/ qu’il parle les parolles de Dieu.
1.Pierre.4. Ce quõ faict les sainctz Apo¬	1.Pierre.4. Ce qu’on faict les sainctz Apo¬
uans ce q̃ Iesus a faict ⁊ cõmande: affin	vans ce que Jesus a faict et commande: affin
⁊ en croyant eussions la uie eternelle. Ie	et en croyant eussions la vie eternelle. Je¬
han.20. Ce qͥ nous doit suffir. Car assez	han.20. Ce qui nous doit suffir. Car assez
nelle. Et ceulx qͥ nont assez de cecy: mais	nelle. Et ceulx qui n’ont assez de cecy: mais
nouuelles ordonnances que Iesus ne cõ	nouvelles ordonnances que Jesus ne com¬
manda iamais/ ⁊ introduyre reigles de	manda jamais/ et introduyre reigles de
ment de leurs sens/ uoulans aller ⁊ che¬	ment de leurs sens/ voulans aller et che¬
ges/ en differẽces de iours/ dhabillemẽs/	ges/ en differences de jours/ d’habillemens/
de uiandes ⁊ lieux/ ne tenans le chef qui	de viandes et lieux/ ne tenans le chef qui
tachãs dauoir une autre uie ⁊ salut/ per¬	tachans d’avoir une autre vie et salut/ per¬
Et trop mieulx leur uauldroit suyvre	Et trop mieulx leur vauldroit suyvre
les Apostres ⁊ leur saincte doctrine sim¬	les Apostres et leur saincte doctrine sim¬
sans auoir tãt de diuersitez dordres sans	sans avoir tant de diversitez d’ordres sans
gle/ que Iesus nous a dõnee/ sans auoir	gle/ que Jesus nous a donnee/ sans avoir
tant de dignitez Preminences/ Deues¬	tant de dignitez Preminences/ D’eves¬
Cardinaulx/ Papes/ ⁊ tant dautres in¬	Cardinaulx/ Papes/ et tant d’autres in¬
pture nen faict aucune mẽtion/ ainsi que	pture n’en faict aucune mention/ ainsi que
tout ua de present en grosse ruyne des	tout va de present en grosse ruyne des
la Chrestiente/ ⁊ annullemẽt de la doctri	la Chrestiente/ et annullement de la doctri¬
Nostre Maistre.	Nostre Maistre.
Cõment? uous uoulez abbatre toute Le	Comment? vous voulez abbatre toute L’e¬
que des concilz/ qui ont cõmence du tẽps	que des concilz/ qui ont commence du temps
fut esleu/ ⁊ quand S. Estienne ⁊ ses com	fut esleu/ et quand sainct Estienne et ses com¬
paignõs furẽt aussi esleuz/ ⁊ aussi a cau¬	paignons furent aussi esleuz/ et aussi a cau¬
le cõcil de Nycene/ Dantioche/ de Constã	le concil de Nycene/ D’antioche/ de Constan¬
⁊ Prestres estoient assemblez contre les	et Prestres estoient assemblez contre les
heretiques qui estoient alors/ les condẽ¬	heretiques qui estoient alors/ les condem¬
cte parolle de Dieu les uainquans: ⁊ si	cte parolle de Dieu les vainquans: et si
les heretiques eussent tout destruict.	les heretiques eussent tout destruict.
Et pourtãt il est necessaire quen Leglise	Et pourtant il est necessaire qu’en L’eglise
qui sont des Papes/ Cardinaulx/ Eues	qui sont des Papes/ Cardinaulx/ Eves¬
Et que yceulx ayent puyssance de condẽ	Et que yceulx ayent puyssance de condem¬
ner ou approuuer ⁊ absouldre: autremẽt	ner ou approuver et absouldre: autrement
ordre. Pourtant Leglise conduicte par le	ordre. Pourtant L’eglise conduicte par le
stitue dignitez ⁊ preminẽces de ꝑsonnes/	stitue dignitez et preminences de personnes/
ainsi quil est de present: et qui les uoul¬	ainsi qu’il est de present: et qui les voul¬
esperit. Il nest point de nouueau q̃ Le¬	esperit. Il n’est point de nouveau que L’e¬
tẽps ou les prelatz ne font leur office ne	temps ou les prelatz ne font leur office ne
preschent ⁊ nenseignent le peuple/ mais	preschent et n’enseignent le peuple/ mais
Seigneur a ꝓmis destre auec elle iusq̃s a	Seigneur a promis d’estre avec elle jusques a
les gouuerneurs de Leglise princes/ cõe	les gouverneurs de L’eglise princes/ come
il est dict au Psal.44. et ne fault ainsi	il est dict au Psal.44. et ne fault ainsi
Le Predicant.	Le Predicant.
auez le nom de docteurs/ ⁊ estes appellez	avez le nom de docteurs/ et estes appellez
de Leglise/ eussiez tant daffectiõ au bien	de L’eglise/ eussiez tant d’affection au bien
remise a son premier estat: ⁊ quon ne fist	remise a son premier estat: et qu’on ne fist
bien scauons q̃ uous faictes en uoz uni¬	bien scavons que vous faictes en voz uni¬
uersitez ⁊ assemblees sans auoir esgard	versitez et assemblees sans avoir esgard
ceulx qͥ doyuẽt estre appellez/ cest le peu¬	ceulx qui doyvent estre appellez/ c’est le peu¬
que uous auez conclud/ soit tenu a peine	que vous avez conclud/ soit tenu a peine
du feu/ ⁊ sil y a personne qui uueille ame	du feu/ et s’il y a personne qui vueille ame¬
reau uoꝰ payez ses argumẽs. Les Apo	reau vous payez ses argumens. Les Apo¬
quauez allegue. Ilz ont ꝓpose la saincte	qu’avez allegue. Ilz ont propose la saincte
escripture/ ⁊ prins conseil a toute lassem	escripture/ et prins conseil a toute l’assem¬
nostre Seigñr/ ceulx qui deuoient seruir	nostre Seigneur/ ceulx qui devoient servir
paoures/ laduis dung chascun estoit ouy	paovres/ l’advis d’ung chascun estoit ouy
⁊ la parolle de Dieu mise en auant. De	et la parolle de Dieu mise en avant. De
en toute Leglise Romaine? Rien. Uous	en toute L’eglise Romaine? Rien. Vous
iuges ⁊ parties/ uous taillez ⁊ cousez cõ¬	juges et parties/ vous taillez et cousez com¬
chassez/ battus/ ẽprisonnez/ lapidez/ tuez	chassez/ battus/ emprisonnez/ lapidez/ tuez
prians pour leurs ennemys/ non point	prians pour leurs ennemys/ non point
condẽnans ⁊ emprisonnans. Et suys es¬	condemnans et emprisonnans. Et suys es¬
bahy cõment on ose dire que Leglise du	bahy comment on ose dire que L’eglise du
cõe la premiere/ ⁊ que Iesus y soit. Pour	come la premiere/ et que Jesus y soit. Pour
⁊ Iesus seroit bien chãge. Mais lesperit	et Jesus seroit bien change. Mais l’esperit
de Dieu cõduict ceulx qui de p̃sent sont	de Dieu conduict ceulx qui de present sont
pour Leuãgile/ cõme ont este ceulx de la	pour L’evangile/ comme ont este ceulx de la
autremẽt cõment pourroiẽt ilz subsister/	autrement comment pourroient ilz subsister/
ueu quon tormẽte de present plus cruel¬	veu qu’on tormente de present plus cruel¬
que iamais on ne tormenta les Apostres	que jamais on ne tormenta les Apostres
la predict que lafflictiõ seroit plus grãde	l’a predict que l’affliction seroit plus grande
q̃ point na este ⁊ ne sera. Matthieu.24.	que point n’a este et ne sera. Matthieu.24.
attendant que nostre Seigneur abbate	attendant que nostre Seigneur abbate
salo.2. ce quil a comence/ ⁊ parfaira fai¬	salo.2. ce qu’il a comence/ et parfaira fai¬
sant uengeance du sang iuste qui a este	sant vengeance du sang juste qui a este
Nostre Maistre.	Nostre Maistre.
Prestre. Car en ung Diocese na qung	Prestre. Car en ung Diocese n’a q’ung
Euesque: mais y peult auoir plusieurs	Evesque: mais y peult avoir plusieurs
ques. Et qͥl soit ainsi/ il est clair q̃ nostre	ques. Et qu’il soit ainsi/ il est clair que nostre
thieu.10. Et yceulx ont este Euesques/	thieu.10. Et yceulx ont este Evesques/
ainsi quil appert de Iudas/ duquel il est	ainsi qu’il appert de Judas/ duquel il est
Actes.1. Puys quil auoit ung Euesche/	Actes.1. Puys qu’il avoit ung Evesche/
les Apostres/ nr̃e Seigñr a esleu septãte	les Apostres/ notre Seigneur a esleu septante
deux disciples/ lesquelz nestoient point	deux disciples/ lesquelz n’estoient point
Prestres. Et ceste difference bien appert	Prestres. Et ceste difference bien appert
uesque soit irreprehensible/ mary dune	vesque soit irreprehensible/ mary d’une
femme. Et pourtant puys quil y a diffe	femme. Et pourtant puys qu’il y a diffe¬
disciples: il fault quil y aye difference en¬	disciples: il fault qu’il y aye difference en¬
grez ⁊ dignitez differentes/ ainsi quil est	grez et dignitez differentes/ ainsi qu’il est
escript. Ephesiens.4. que nostre Seigñr	escript. Ephesiens.4. que nostre Seigneur
les autres Prophetes/ les autres Euan	les autres Prophetes/ les autres Evan¬
Et nest pas ainsi que plusieurs estiment	Et n’est pas ainsi que plusieurs estiment
ne tenãs compte des uniuersitez ne des	ne tenans compte des universitez ne des
ques ⁊ des pasteurs. Car il fault quẽ Le	ques et des pasteurs. Car il fault qu’en L’e¬
grãd ⁊ superieur aux Diacres/ ainsi Le	grand et superieur aux Diacres/ ainsi L’e¬
uesque est plus grand et superieur aux	vesque est plus grand et superieur aux
qung Euesque: mais plusieͬs Prestres.	q’ung Evesque: mais plusieurs Prestres.
soubz ung Archeuesque/ ⁊ les Archeues¬	soubz ung Archevesque/ et les Archeves¬
ques soubz le Primat/ ⁊ ainsi par degrez	ques soubz le Primat/ et ainsi par degrez
sus tous cõe chef/ constitue sus tous cõ¬	sus tous come chef/ constitue sus tous com¬
Le Predicant.	Le Predicant.
Uoꝰ dõnerez beaucop de testes ⁊ de chefz	Vous donnerez beaucop de testes et de chefz
uous a assez clairement monstre cõment	vous a assez clairement monstre comment
point de successeur. Car il est tousiours	point de successeur. Car il est tousjours
uiuant/ ⁊ nest pas cõme les autres/ qui	vivant/ et n’est pas comme les autres/ qui
⁊ de faire leur office: mais Iesus uiuant	et de faire leur office: mais Jesus vivant
la siẽne/ nõ point celle du Pape de ceulx	la sienne/ non point celle du Pape de ceulx
qui ne suyuent Leuangile. Et quant	qui ne suyvent L’evangile. Et quant
Il est clair par lescripture que cest une	Il est clair par l’escripture que c’est une
uant a Tite au premier chapitre: Ie tay	vant a Tite au premier chapitre: Je t’ay
laisse en Candie pour corriger ce qͥ fault/	laisse en Candie pour corriger ce qui fault/
Prestres/ cõe ie tauoye ordõne/ si aucun	Prestres/ come je t’avoye ordonne/ si aucun
ses enfans fideles non subiectz a super¬	ses enfans fideles non subjectz a super¬
fluite/ ⁊ qͥlz ne soient point intractables.	fluite/ et qu’ilz ne soient point intractables.
me/ comme despensier de Dieu. Auoir	me/ comme despensier de Dieu. Avoir
estre sans blasme/ ⁊ ayant une femme/ il	estre sans blasme/ et ayant une femme/ il
dit: Car il fault que Leuesque soit sans	dit: Car il fault que L’evesque soit sans
deux/ poͬ quoy diroit il: Car il fault que	deux/ pour quoy diroit il: Car il fault que
mesme chose? Et ce que Lapostre dit en	mesme chose? Et ce que L’apostre dit en
ceste epistre du Prestre/ il la dit. 1.Timo	ceste epistre du Prestre/ il l’a dit. 1.Timo¬
Actes.20. ou il est dit/ que sainct Paul a	Actes.20. ou il est dit/ que sainct Paul a
se. Et parlant a eulx leur dit: Donnez	se. Et parlant a eulx leur dit: Donnez
uous garde a uous ⁊ a tout le tropeau/	vous garde a vous et a tout le tropeau/
ques. Ceulx qͥl a dit Prestres/ il appelle	ques. Ceulx qu’il a dit Prestres/ il appelle
une mesme chose. Et cõe parauãt auõs	une mesme chose. Et come paravant avons
monstre/ que Sainct Pierre ne sappelle	monstre/ que Sainct Pierre ne s’appelle
me les autres. 1.Pierre.5. Car ce q̃ uous	me les autres. 1.Pierre.5. Car ce que vous
cite ⁊ Diocese/ ⁊ ny en a q̃ ung: assez est	cite et Diocese/ et n’y en a que ung: assez est
clair de ceulx de Ephese qui estoient plu	clair de ceulx de Ephese qui estoient plu¬
blablemẽt estoient plusieurs/ cõme mon¬	blablement estoient plusieurs/ comme mon¬
en Iesus Christ qui sont en Philippes	en Jesus Christ qui sont en Philippes
auec les Euesques ⁊ les Diacres. Phi¬	avec les Evesques et les Diacres. Phi¬
aye ordõne douze Apostres/ ⁊ que iceulx	aye ordonne douze Apostres/ et que iceulx
il aye ordonne les septante ⁊ non point	il aye ordonne les septante et non point
septante deux/ il ne sensuyt point: cõbien	septante deux/ il ne s’ensuyt point: combien
les septante ne layent este. Car Euesque	les septante ne l’ayent este. Car Evesque
⁊ de seigneurie: mais doffice ⁊ de seruitu¬	et de seigneurie: mais d’office et de servitu¬
de poͬ seruir a Leglise. Et lung est prins	de pour servir a L’eglise. Et l’ung est prins
stre. Lautre dauoir lesgard ⁊ de ueiller.	stre. L’autre d’avoir l’esgard et de veiller.
le regard sus le peuple. Car il fault que	le regard sus le peuple. Car il fault que
celuy qui porte la parolle de Dieu/ soit	celuy qui porte la parolle de Dieu/ soit
la forme au peuple/ cõme dit S. Pierre/	la forme au peuple/ comme dit sainct Pierre/
peuple qui est lheritaige de Dieu: mais	peuple qui est l’heritaige de Dieu: mais
soyez (dit il) la forme au tropeau. 1.Pier	soyez (dit il) la forme au tropeau. 1.Pier¬
soit irreprehensible/ mary dune femme/	soit irreprehensible/ mary d’une femme/
talite/ ꝓpre a enseigner/ nõ point adõne	talite/ propre a enseigner/ non point adonne
a uin/ non batteur/ nestãt adonne a ui¬	a vin/ non batteur/ n’estant adonne a vi¬
dauarice/ qui gouuerne bien sa maison/	d’avarice/ qui gouverne bien sa maison/
nestete. 1.Timoth.3. ⁊ a Tite.1. Et aussi	nestete. 1.Timoth.3. et a Tite.1. Et aussi
