¶ Sensuyuẽt plusieurs	¶ S'ensuyvent plusieurs
¶ mõ dieu ꝯfõdz/ ces maudictz hypocri	¶ mon dieu confondz/ ces maudictz hypocri¬
Iusq̃s a quãt? sire les soustiẽs tu? (tes	tes Jusques a quant? sire les soustiens tu?
Par ces caphars/ ton filz est rabbatu	Par ces caphars/ ton filz est rabbatu
Sa passion/ ses graces/ ⁊ merites.	Sa passion/ ses graces/ et merites.
¶ Toꝰ leurs abuz/ uolũtiers chãteroye	¶ Tous leurs abuz/ voluntiers chanteroye
Prenez en gre/ de chanter ie suis las	Prenez en gre/ de chanter je suis las
Cercheõs en Christ/ ꝯfort ioye ⁊ soulas	Cercheons en Christ/ confort joye et soulas
Il est tout seul/ uerite/ uie/ ⁊ uoye.	Il est tout seul/ verite/ vie/ et voye.
¶ Aultre chãson/ sur le chant Qui la	¶ Aultre chanson/ sur le chant Qui la
dira la douscur de mon cueur.	dira la dousceur de mon cueur.
Q	Q¬
Ui la dira/ la douleur de mõ cueͬ	Ui la dira/ la douleur de mon cueur
Et le soucy/ q̃ poͬ mõ peche porte	Et le soucy/ que pour mon peche porte
Ie ny soustiẽs/ q̃ ennuy/ peine/ ⁊ douleͬ	je n'y soustiens/ que ennuy/ peine/ et douleur
Et si nest nul/ (mõ dieu) qͥ me cõforte.	Et si n'est nul/ (mon dieu) qui me conforte.
¶ O seigͬ dieu/ qͥ metz dehors desmoy	¶ O seigneur dieu/ qui metz dehors d'esmoy
Tes seruiteurs/ par ta misericorde	Tes serviteurs/ par ta misericorde
Ton plaisir soit/ auoir mercy de moy	Ton plaisir soit/ avoir mercy de moy
Par mõ peche/ iay desseruy la chorde.	Par mon peche/ j'ay desservy la chorde.
¶ Efface donc/ toute liniquite	¶ Efface donc/ toute l'iniquite
Qui est en moy en grande multitude	Qui est en moy en grande multitude
Ie ne uaulx rien/ car ie suis uanite	Je ne vaulx rien/ car je suis vanite
Et a mal faire/ iay mistout mõ estude.	Et a mal faire/ j'ay mis tout mon estude.
¶ Par mon peche/ ie suis deuãt toy uil	¶ Par mon peche/ je suis devant toy vil
Or laue moy/ de plus en plꝰ par grace	Or lave moy/ de plus en plus par grace
Car sans lauoir/ tout hõme est inutil	Car sans l'avoir/ tout homme est inutil
Et desplaisant/ deuant ta saincte face.	Et desplaisant/ devant ta saincte face.
¶ Toꝰ mes pechez/ ie cõfesse ⁊ cõgnois	¶ Tous mes pechez/ je confesse et congnois
En general/ ie delaisse les branches	En general/ je delaisse les branches
Car ie ne suis/ cõme bien iapercoys	Car je ne suis/ comme bien j'apercoys
Rien que peche/ ⁊ mes uolũtez frãches.	Rien que peche/ et mes voluntez franches.
¶ Iay desseruy/ seigneur ⁊ merite	¶ J'ay desservy/ seigneur et merite
De soustenir/ punition expresse	De soustenir/ punition expresse
Faictz moy pardõ/ lors uaincra uerite	Faictz moy pardon/ lors vaincra verite
Lhõe nest riẽ/ mais a toy ie me adresse.	L'home n'est rien/ mais a toy je me adresse.
¶ Lhõe est a mal/ par sa nature enclin	¶ L'home est a mal/ par sa nature enclin
Adam luy a/ laisse cest heritage	Adam luy a/ laisse c'est heritage
Mais toy seigñr/ par tõ regard begnin	Mais toy seigneur/ par ton regard begnin
Tu las este/ ⁊ mis hors de seruage.	Tu l'as este/ et mis hors de servage.
¶ Iespere aussi/ que tu me arrouseras	¶ J'espere aussi/ que tu me arrouseras
De leaue de grace/ ⁊ en nouuelle sorte	De l'eaue de grace/ et en nouvelle sorte
Mon ame plus/ que neige blanchiras	Mon ame plus/ que neige blanchiras
Tant soit tenante/ ou la macule forte.	Tant soit tenante/ ou la macule forte.
¶ Lors ie seray/ par telle ablution	¶ Lors je seray/ par telle ablution
Tout console/ quand ie orray de souye	Tout console/ quand je orray de souye
De tes pechez/ tu as remission	De tes pechez/ tu as remission
Iamais ne fut/ telle liesse ouye.	Jamais ne fut/ telle liesse ouye.
¶ Ie laisse la/ donc toꝰ les pardõneurs	¶ Je laisse la/ donc tous les pardonneurs
De toy tout seul/ iattẽdz ꝑdon mõ sire	De toy tout seul/ j'attendz pardon mon sire
Notez ces motz/ helas poures pecheurs	Notez ces motz/ helas povres pecheurs
Uenez a Christ/ par foy ⁊ non par cire.	Venez a Christ/ par foy et non par cire.
¶ Estre en esprit/ dolent ⁊ desplaisant	¶ Estre en esprit/ dolent et desplaisant
De son peche/ ⁊ auoir en humblesse	De son peche/ et avoir en humblesse
Le cueur cõtrit/ sacrifice est plaisant	Le cueur contrit/ sacrifice est plaisant
Deuant toy sire/ ⁊ deuant ta noblesse.	Devant toy sire/ et devant ta noblesse.
¶ Uoyla quon doibt/ chãter ⁊ recorder	¶ Voyla qu'on doibt/ chanter et recorder
Et en chantant/ la remission croyre	Et en chantant/ la remission croyre
De noz pechez/ par foy non par ouurer	De noz pechez/ par foy non par ouvrer
Et puis de dieu/ ꝑ grace attẽdre gloire.	Et puis de dieu/ par grace attendre gloire.
¶ Aultre chanson/ sur le chãt Secou¬	¶ Aultre chanson/ sur le chant Secou¬
rez moy/ ma dame par amours ⁊c.	rez moy/ ma dame par amours etc.
S	S¬
Ecourez moy/ sire des ennemys:	Ecourez moy/ sire des ennemys:
ou aultremẽt/ ie suis ꝑ eulx uaĩcu	ou aultrement/ je suis par eulx vaincu
Ne ꝑmettez/ quen leͬs maĩs ie soys mis	Ne permettez/ qu'en leurs mains je soys mis
Sans uous sir/, ie seroys conuaincu.	Sans vous sir/, je seroys convaincu.
¶ Cõe ung lyõ/ faict les bestes au boys	¶ Come ung lyon/ faict les bestes au boys
Ainsi satan/ cerche pour me rauir	Ainsi satan/ cerche pour me ravir
Helas seigñr/ mõ mal scauoir uoꝰ foys	Helas seigneur/ mon mal scavoir vous foys
Uenez bien tost/ bien tost: me secourir.	Venez bien tost/ bien tost: me secourir.
¶ Tout mõ pouoir/ ma force/ ⁊ ma ui¬	¶ Tout mon povoir/ ma force/ et ma vi¬
(gueur	gueur
Et mõ secours/ ⁊ ma ꝓtectiõ	Et mon secours/ et ma protection
Uiennẽt de uoꝰ/ mon roy ⁊ mõ seigñr	Viennent de vous/ mon roy et mon seigneur
Pource ie uiens/ a uous sans fiction.	Pource je viens/ a vous sans fiction.
¶ Ie demãde estre/ a toy bien conuerty	¶ Je demande estre/ a toy bien converty
Nõ poĩt ꝑ moy/ mais ꝑ ton bõ uouloir	Non point par moy/ mais par ton bon vouloir
Par mon peche/ ie me suis diuerty	Par mon peche/ je me suis diverty
sãs toy mõ dieu/ ie ne peulx riẽ ualoir.	sans toy mon dieu/ je ne peulx rien valoir.
¶ Dieu dit ainsi/ aux pecheͬs diuertis	¶ Dieu dit ainsi/ aux pecheurs divertis
Qui ont laisse/ son grãd ⁊ seur chemin	Qui ont laisse/ son grand et seur chemin
Miserables/ si ne estes conuertis	Miserables/ si ne estes convertis
Uous irez tous/ en enfer a la fin.	Vous irez tous/ en enfer a la fin.
¶ Ses dars aguz/ sont uaisseaux de la	¶ Ses dars aguz/ sont vaisseaux de la
(mort	mort
Des saiettes/ ont le fer mõlt agus	Des saiettes/ ont le fer moult agus
Aux obstinez pecheurs/ poͬ son renfort	Aux obstinez pecheurs/ pour son renfort
Il traict en ire/ en fureur ⁊ argu.	Il traict en ire/ en fureur et argu.
¶ Poures pecheͬs craignons les iuge¬	¶ Povres pecheurs craignons les juge¬
(mẽs	mens
Du seigͬ dieu/ ⁊ obseruõs sa loy	Du seigneur dieu/ et observons sa loy
Nõ seulemẽt de peur des griefz tormẽs	Non seulement de peur des griefz tormens
Mais par amour/ par charite/ ⁊ foy.	Mais par amour/ par charite/ et foy.
¶ Cõmandemẽs il a donne tresdoulx	¶ Commandemens il a donne tres doulx
A ses enfans/ pour les faire en esprit	A ses enfans/ pour les faire en esprit
Il est le pere/ ⁊ le frere/ ⁊ lespoux:	Il est le pere/ et le frere/ et l'espoux:
Seruons a luy/ ⁊ laissons lantechrist.	Servons a luy/ et laissons l'antechrist.
¶ Ses mãdemẽs sõt trop fors a porter	¶ Ses mandemens sont trop fors a porter
Daller a luy/ certes cest grand abuz	D'aller a luy/ certes c'est grand abuz
On ny faict rien/ sans argẽt apporter	On n'y faict rien/ sans argent apporter
Laissez le la/ cest sardanapalus.	Laissez le la/ c'est sardanapalus.
¶ Le doulx Iesꝰ/ demãde nostre cueur	¶ Le doulx Jesus/ demande nostre cueur
Et lantechrist/ demãde auoir noz biẽs	Et l'antechrist/ demande avoir noz biens
En iesus christ/ tout hõe est bien asseur	En jesus christ/ tout home est bien asseur
En lantechrist/ toutes gens ne sõt riẽs.	En l'antechrist/ toutes gens ne sont riens.
¶ Aultre chanson/ sur le chant Si de	¶ Aultre chanson/ sur le chant Si de
bon cueur uous ayme ⁊c.	bon cueur vous ayme etc.
S	S¬
I de bon cueur ne tayme/	I de bon cueur ne t'ayme/
Mon seigneur iay grand tort/	Mon seigneur j'ay grand tort/
Tu tes donne toymesme/	Tu t'es donne toy mesme/
Pour me garder de mort/	Pour me garder de mort/
Satan mauoit tue/	Satan m'avoit tue/
Tu mas restitue/	Tu m'as restitue/
Par ton sang precieux/	Par ton sang precieux/
Qui ces choses oublie/	Qui ces choses oublie/
Il est trop uicieux.	Il est trop vicieux.
¶ Cerchons de dieu la grace	¶ Cerchons de dieu la grace
Tout dung cueur pur ⁊ net/	Tout d'ung cueur pur et net/
Qui les pechez efface/	Qui les pechez efface/
Au uray croyant parfaict/	Au vray croyant parfaict/
Cela noubliez pas/	Cela n'oubliez pas/
Iusque au iour du trespas/	Jusque au jour du trespas/
En luy seul esperons	En luy seul esperons
En fin de nostre uie/	En fin de nostre vie/
Par luy sauuez serons.	Par luy sauvez serons.
¶ Il ne uous doibt desplaire	¶ Il ne vous doibt desplaire
Messieurs des troys estas	Messieurs des troys estas
Si ie ne ueulx complaire/	Si je ne veulx complaire/
Aux maulx/ quon faict a tas	Aux maulx/ qu'on faict a tas
Souuent en uoz maisons/	Souvent en voz maisons/
Uous uiuez sans raisons/	Vous vivez sans raisons/
Et sans nulle equite/	Et sans nulle equite/
A uous prestres commence/	A vous prestres commence/
Escoutez uerite.	Escoutez verite.
¶ Entre uous gens deglise/	¶ Entre vous gens d'eglise/
Qui uendez sacremens/	Qui vendez sacremens/
Mais ce nest point la guise/	Mais ce n'est point la guise/
Ne les enseignemens/	Ne les enseignemens/
Que Iesus a donne/	Que Jesus a donne/
Cela est condemne/	Cela est condemne/
Pour dieu nen uendez plus/	Pour dieu n'en vendez plus/
Faictes la penitence/	Faictes la penitence/
Amendez le surplus.	Amendez le surplus.
¶ Messeigneurs de noblesse/	¶ Messeigneurs de noblesse/
Pour dieu amendez uous/	Pour dieu amendez vous/
Uiuez en grand liesse/	Vivez en grand liesse/
Suyuantz Christ uostre espoux/	Suyvantz Christ vostre espoux/
Il est le roy des roix	Il est le roy des roix
Obseruez donc ses loix/	Observez donc ses loix/
Supportez uoz subiectz/	Supportez voz subjectz/
Administrez iustice/	Administrez justice/
Uous y estes subieitz.	Vous y estes subjeitz.
¶ Uous laboureurs de terre/	¶ Vous laboureurs de terre/
Et bons marchans aussi/	Et bons marchans aussi/
Gardez uous de mal faire/	Gardez vous de mal faire/
Et de uiure en soucy/	Et de vivre en soucy/
Ne soyez conuoiteux/	Ne soyez convoiteux/
Larrons ne cauteleux/	Larrons ne cauteleux/
Seruez dieu en uoz cueurs/	Servez dieu en voz cueurs/
Uiuez en patience/	Vivez en patience/
Et uous serez uainqueurs.	Et vous serez vainqueurs.
¶ Aultre chãson sur le chãt Faictes	¶ Aultre chanson sur le chant Faictes
sil uous plaist uostre aulmosne.	s'il vous plaist vostre aulmosne.
F	F¬
aictz sil te plaist ta saĩte aumosne	aictz s'il te plaist ta sainte aumosne
A ce pecheur qui na plus rien	A ce pecheur qui n'a plus rien
Et qui ne trouue/ en soy nul bien	Et qui ne trouve/ en soy nul bien
Mon dieu/ cest toy que ie sermonne.	Mon dieu/ c'est toy que je sermonne.
¶ Tu me regiz/ en ta pasture	¶ Tu me regiz/ en ta pasture
Tellemẽt/ que rien ne my fault	Tellement/ que rien ne my fault
Sãs ton saĩct pain/ mõ cueur deffault	Sans ton sainct pain/ mon cueur deffault
De men donner prens donc la cure.	De m'en donner prens donc la cure.
¶ Tu me nourris/ en ton herbage	¶ Tu me nourris/ en ton herbage
Par ta parolle/ ⁊ sainctz escriptz	Par ta parolle/ et sainctz escriptz
Sire donne moy/ les espritz	Sire donne moy/ les espritz
De la gouster/ en ce uoyage.	De la gouster/ en ce voyage.
¶ Helas tu es/ guide propice	¶ Helas tu es/ guide propice
Pour me mener/ droict en syon	Pour me mener/ droict en syon
Tu es la uigne/ ⁊ moy syon	Tu es la vigne/ et moy syon
Ie suis peche/ ⁊ toy iustice.	Je suis peche/ et toy justice.
¶ Sil aduient que satan men uerse	¶ S'il advient que satan m'en verse
Tu me recoys entre tes mains/	Tu me recoys entre tes mains/
Et me soustiens/ roy des humains	Et me soustiens/ roy des humains
Desprit auec toy ie conuerse.	D'esprit avec toy je converse.
¶ Ie suis faict fort par ta doctrine/	¶ Je suis faict fort par ta doctrine/
Par ta parolle/ ⁊ sainct sermon:	Par ta parolle/ et sainct sermon:
De ma deffence/ est le baston	De ma deffence/ est le baston
Pour me tenir/ en discipline.	Pour me tenir/ en discipline.
¶ Deuãt moy/ tu as mis la table	¶ Devant moy/ tu as mis la table
De tes diuins enseignemens/	De tes divins enseignemens/
Qui sont certes grandz sacremens	Qui sont certes grandz sacremens
Le pain celeste ⁊ delectable	Le pain celeste et delectable
Mon chief as oing dhuyle de grace	Mon chief as oing d'huyle de grace
Ton calice est moult fructueux	Ton calice est moult fructueux
En endurant ie suis heureux:	En endurant je suis heureux:
Si tu retourne/ a moy ta face.	Si tu retourne/ a moy ta face.
¶ Puis que ainsi est/ que tu taccorde	¶ Puis que ainsi est/ que tu t'accorde
De me donner/ ayde ⁊ secours	De me donner/ ayde et secours
A toy mon dieu/ iay mon recours	A toy mon dieu/ j'ay mon recours
En attendant/ misericorde.	En attendant/ misericorde.
¶ Par foy/ ie auray ton habitacle	¶ Par foy/ je auray ton habitacle
Seigneur ainsi tu las promis	Seigneur ainsi tu l'as promis
A tes esleuz ⁊ bons amys:	A tes esleuz et bons amys:
Le ciel est ton sainct tabernacle.	Le ciel est ton sainct tabernacle.
¶ A toy iay esleue mon ame/	¶ A toy j'ay esleue mon ame/
Tu as faict ma redemption	Tu as faict ma redemption
Iattendz de toy subuention	J'attendz de toy subvention
Qui si attend naura nul blasme.	Qui si attend n'aura nul blasme.
¶ Aultre chãson/ sur le chant Iouys¬	¶ Aultre chanson/ sur le chant Jouys¬
sance uous donneray.	sance vous donneray.
I	I¬
L appartient/ loz ⁊ honnenr	L appartient/ loz et honneur
A toy tout seul mon bon seigneur	A toy tout seul mon bon seigneur
Quant est de nous: nous sõmes de ire	Quant est de nous: nous sommes de ire
Urays filz Dadam remplis derreur	Vrays filz D'adam remplis d'erreur
Et ung chascun de nous pecheur	Et ung chascun de nous pecheur
La uerite le me faict dire.	La verite le me faict dire.
¶ Iesus ton filz nostre prelat	¶ Jesus ton filz nostre prelat
Nostre frere/ nostre aduocat	Nostre frere/ nostre advocat
En la croix a eu la uictoire/	En la croix a eu la victoire/
Contre satan: ⁊ le combat	Contre satan: et le combat
Or par ce uertueux debat	Or par ce vertueux debat
Lhomme est mis en honneur ⁊ gloire.	L'homme est mis en honneur et gloire.
¶ Lamour de luy/ la faict uenir	¶ L'amour de luy/ la faict venir
Uoire sans nostre deseruir	Voire sans nostre deservir
Meritoire/ mais par sa grace	Meritoire/ mais par sa grace
Bien il nous en doibt souuenir	Bien il nous en doibt souvenir
Et recorder iusque au mourir	Et recorder jusque au mourir
Lingrat/ me desplaist quoy quil face.	L'ingrat/ me desplaist quoy qu'il face.
¶ Si pour Christ auons du soucy	¶ Si pour Christ avons du soucy
De nous/ nen ha pas moins aussi	De nous/ n'en ha pas moins aussi
Amour le uous doibt faire entendre	Amour le vous doibt faire entendre
Mais sil uous griefue destre ainsi	Mais s'il vous griefve d'estre ainsi
Demandez suy de cueur mercy	Demandez suy de cueur mercy
Tout uient apoint qui peult attendre.	Tout vient apoint qui peult attendre.
¶ Aultre chanson/ sur le chãt Grace	¶ Aultre chanson/ sur le chant Grace
⁊ uertu/ bonte ⁊c. Ou sur Ie my re¬	et vertu/ bonte etc. Ou sur Je my re¬
pens de uous auoir aymee ⁊c.	pens de vous avoir aymee etc.
G	G¬
race ⁊ uertu/ bõte/ beaulte noblesse	race et vertu/ bonte/ beaulte noblesse
est en mõdieu/ poĩt ne le fault celer	est en mon dieu/ point ne le fault celer
Trop my desplaist/ den ouyr mal ꝑler	Trop my desplaist/ d'en ouyr mal parler
Ie hays celuy/ qͥ son hõneur luy blesse.	Je hays celuy/ qui son honneur luy blesse.
¶ En mes chãsons/ sõ nom ie magnifie	¶ En mes chansons/ son nom je magnifie
Car cest le filz/ de dieu le createur:	Car c'est le filz/ de dieu le createur:
Et croy quil est/ mon seul mediateur	Et croy qu'il est/ mon seul mediateur
Et aduocat/ heureux est qui si fie.	Et advocat/ heureux est qui si fie.
¶ ꝗ̈t sõ saĩct nõ/ doulcemẽt ie ĩuoquoye	¶ quant son sainct non/ doulcement je invoquoye
Mes ennemis/ poͬ me mettre en esmoy	Mes ennemis/ pour me mettre en esmoy
Disoient ainsi/ il est bien loing de toy	Disoient ainsi/ il est bien loing de toy
Point ne ty fie/ or ainsi ie chantoye.	Point ne ty fie/ or ainsi je chantoye.
¶ Uoyci le temps/ de sa misericorde	¶ Voyci le temps/ de sa misericorde
Il aura donc/ de moy compassion	Il aura donc/ de moy compassion
Iespere auoir/ de luy remission	J'espere avoir/ de luy remission
Pardon aussi/ uerite si accorde.	Pardon aussi/ verite si accorde.
¶ mõ doux iesꝰ/ iay faict cry lamẽtable	¶ mon doux jesus/ j'ay faict cry lamentable
De ꝓfond cueur/ a toy tu le congnoys	De profond cueur/ a toy tu le congnoys
Il est en toy/ sire exaulser ma uoix	Il est en toy/ sire exaulser ma voix
Tu seras donc/ a ton serf amyable.	Tu seras donc/ a ton serf amyable.
¶ Helas seigñr/ si obseruer mes uoyes	¶ Helas seigneur/ si observer mes voyes
En iugement uouloys/ ⁊ les punir	En jugement vouloys/ et les punir
Qui le pourroit/ porter ne soustenir:	Qui le pourroit/ porter ne soustenir:
ð tes doulx chãtz/ ne orriõs iamais les ioyes	de tes doulx chantz/ ne orrions jamais les joyes
¶ Mais pour autãt/ q̃ tu es tout ꝓpice	¶ Mais pour autant/ que tu es tout propice
Ensemble aussi/ propitiation	Ensemble aussi/ propitiation
En toy iay mis/ mon expectation	En toy j'ay mis/ mon expectation
Ne me punis point selon ta iustice.	Ne me punis point selon ta justice.
¶ Fie me suis/ a ton uerbe ⁊ promesse	¶ Fie me suis/ a ton verbe et promesse
Car tu es tel/ qui ne pourroit mentir	Car tu es tel/ qui ne pourroit mentir
De cest espoir/ ne me peult repentir	De cest espoir/ ne me peult repentir
Et my fieray/ a tout iamais sans cesse.	Et my fieray/ a tout jamais sans cesse.
Le chrestien/ ayant la congnoissance	Le chrestien/ ayant la congnoissance
Du redempteur/ ⁊ sa benignite	Du redempteur/ et sa benignite
Iusque a la mort/ des sa natiuite	Jusque a la mort/ des sa nativite
Doibt mettre en luy/ toute sõ esperãce.	Doibt mettre en luy/ toute son esperance.
¶ Misericorde/ il ha en abondance	¶ Misericorde/ il ha en abondance
quil nest pecheͬ /ne hõe tãt soit uitieux	qu'il n'est pecheur /ne home tant soit vitieux
ne tãt mauuais/ soit hõe ieune ou uieux	ne tant mauvais/ soit home jeune ou vieux
Qui de peche/ ny trouue la deliurance.	Qui de peche/ n'y trouve la delivrance.
¶ Puis quil peult dõc/ toute faulte re¬	¶ Puis qu'il peult donc/ toute faulte re¬
(mettre	mettre
Croyãs qͥl a faict satisfactiõ	Croyans qu'il a faict satisfaction
De noz pechez/ en sa submission	De noz pechez/ en sa submission
tres hũblemẽt/ mes fr̃es noꝰ fault mettre	tres humblement/ mes freres nous fault mettre
¶ O mõ seigͬ/ tu es le christ tres digne	¶ O mon seigneur/ tu es le christ tres digne
Destre en syon/ dessus tous adore	D'estre en syon/ dessus tous adore
Il te appartient/ ton nom soit hõnore	Il te appartient/ ton nom soit honnore
De noꝰ trestous/ en cantiq̃s ⁊ hymne.	De nous trestous/ en cantiques et hymne.
¶ Aultre chanson/ sur le chant Celle	¶ Aultre chanson/ sur le chant Celle
qui ma tant pourmene.	qui m'a tant pourmene.
M	M¬
On dieu/ que iay tant attendu	On dieu/ que j'ay tant attendu
A eu pitie de ma langueur:	A eu pitie de ma langueur:
Le filz de luy/ qui est uenu	Le filz de luy/ qui est venu
Icy est nostre protecteur/	Icy est nostre protecteur/
Nostre aduocat/ nostre recteur	Nostre advocat/ nostre recteur
Gouuernant tout par sa parolle/	Gouvernant tout par sa parolle/
REnouuellant aussi le cueur:	REnouvellant aussi le cueur:
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
¶ Il est uenu/ mais en temps deu	¶ Il est venu/ mais en temps deu
Et sest demonstre/ estre sauueur	Et s'est demonstre/ estre sauveur
Car son pere auoit/ larc tendu	Car son pere avoit/ l'arc tendu
Pour nous tuer/ en sa fureur:	Pour nous tuer/ en sa fureur:
Christ fut de paix/ mediateur	Christ fut de paix/ mediateur
Comme lescripture recolle/	Comme l'escripture recolle/
Lequel souffrit/ pour nous douleur	Lequel souffrit/ pour nous douleur
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
¶ Pour nous son sang/ a respandu	¶ Pour nous son sang/ a respandu
En la croix/ cõme ung malfaicteur	En la croix/ comme ung malfaicteur
Et tout le cas bien entendu/	Et tout le cas bien entendu/
A satisfaict pour le pecheur	A satisfaict pour le pecheur
Tellement quil nest plus debteur	Tellement qu'il n'est plus debteur
Car il a efface le rolle	Car il a efface le rolle
Et loblige/ du crediteur:	Et l'oblige/ du crediteur:
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
¶ Mais faulx semblant/ a pretendu	¶ Mais faulx semblant/ a pretendu
Pour des gens/ auoir la faueur	Pour des gens/ avoir la faveur
Que pardon/ nous estoit rendu	Que pardon/ nous estoit rendu
Pour estre ung peregrinateur	Pour estre ung peregrinateur
Patrenostrier/ ou ung ieuneur	Patrenostrier/ ou ung jeuneur
Ou ung adorateur dydole	Ou ung adorateur d'ydole
Plus ne le croy/ ce nest que erreur:	Plus ne le croy/ ce n'est que erreur:
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
¶ Par foy satan/ est confondu	¶ Par foy satan/ est confondu
Non point pour estre operateur/	Non point pour estre operateur/
Paradis ne nous est uendu	Paradis ne nous est vendu
Mais est donne/ par le seigneur	Mais est donne/ par le seigneur
La foy te faict obseruateur/	La foy te faict observateur/
Des impreceptz de la saincte escolle	Des impreceptz de la saincte escolle
De Iesus/ ⁊ non dung prieur:	De Jesus/ et non d'ung prieur:
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
¶ Poures caphars/ ont tout perdu	¶ Povres caphars/ ont tout perdu
Puis quil souffist destre gardeur	Puis qu'il souffist d'estre gardeur
De la loy/ ⁊ que deffendu	De la loy/ et que deffendu
Il est: destre plus pardonneur	Il est: d'estre plus pardonneur
Plus ne leur fault de recepueur	Plus ne leur fault de recepveur
Pour mettre argent/ en leur cibolle	Pour mettre argent/ en leur cibolle
Auquel on ne faict plus dhonneur	Auquel on ne faict plus d'honneur
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
¶ Tout bien de Christ est descendu	¶ Tout bien de Christ est descendu
Il est de tout bien largiteur	Il est de tout bien largiteur
Pour nous en croix il fut pendu	Pour nous en croix il fut pendu
Ce que ne fut iamais prescheur/	Ce que ne fut jamais prescheur/
Ne sainct martyr/ ne confesseur	Ne sainct martyr/ ne confesseur
Cest Iesus christ qui nous consolle	C'est Jesus christ qui nous consolle
Qui nous sauue/ ⁊ mect asseur	Qui nous sauve/ et mect asseur
Dont il mest aduis que ie uolle.	Dont il m'est advis que je volle.
FINIS.	FINIS.
Toy musicien/ garde la sinalephe	Toy musicien/ garde la sinalephe
Car elle faict discord souuẽt es uoix	Car elle faict discord souvent es voix
La sinalephe/ est faicte ainsi que uoys	La sinalephe/ est faicte ainsi que voys
Au chãtre auoir/ il faut bõe ãtigraphe.	Au chantre avoir/ il faut bone antigraphe.
